yourlist:M202206094ABAA9BC7178C81CEBC9459510EDDEA34FF825K	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC575000	A0A7M7NVE1	A0A7M7NVE1_STRPU	unreviewed	Voltage-dependent T-type calcium channel subunit alpha		Strongylocentrotus purpuratus (Purple sea urchin)	2294
LOC575000	A0A7M7SY46	A0A7M7SY46_STRPU	unreviewed	Voltage-dependent T-type calcium channel subunit alpha		Strongylocentrotus purpuratus (Purple sea urchin)	2282
LOC575000	A0A7M7SY62	A0A7M7SY62_STRPU	unreviewed	Voltage-dependent T-type calcium channel subunit alpha		Strongylocentrotus purpuratus (Purple sea urchin)	2263
LOC100891580	A0A7M7N3U5	A0A7M7N3U5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1010
LOC100891580	A0A7M7STS3	A0A7M7STS3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	976
LOC578055	A0A7M7HNV9	A0A7M7HNV9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	479
LOC578952	A0A7M7REC4	A0A7M7REC4_STRPU	unreviewed	Transporter		Strongylocentrotus purpuratus (Purple sea urchin)	634
LOC582056	A0A7M7NX46	A0A7M7NX46_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4502
LOC580359	A0A7M7HM37	A0A7M7HM37_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	598
LOC580359	A0A7M7NBF4	A0A7M7NBF4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	599
LOC590073	A0A7M7N0G2	A0A7M7N0G2_STRPU	unreviewed	Fibrinogen C-terminal domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	227
LOC580190	A0A7M7RBB9	A0A7M7RBB9_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	342
LOC577841	A0A7M7ND94	A0A7M7ND94_STRPU	unreviewed	Phosphodiesterase (EC 3.1.4.-)		Strongylocentrotus purpuratus (Purple sea urchin)	517
LOC588178	A0A7M7GEG6	A0A7M7GEG6_STRPU	unreviewed	C1q domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	160
LOC588178	A0A7M7RDN3	A0A7M7RDN3_STRPU	unreviewed	C1q domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	139
LOC576243	A0A7M7N2F3	A0A7M7N2F3_STRPU	unreviewed	PAS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2004
LOC105439052	A0A7M7PRM7	A0A7M7PRM7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	188
LOC754681	A0A7M7NR13	A0A7M7NR13_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	359
LOC581305	A0A7M7REX8	A0A7M7REX8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	287
LOC100890071	A0A7M7NG42	A0A7M7NG42_STRPU	unreviewed	Cyclic nucleotide-binding domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	359
LOC115918117	A0A7M7NSA6	A0A7M7NSA6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1461
LOC593528	A0A7M7HFH8	A0A7M7HFH8_STRPU	unreviewed	Angiotensin-converting enzyme (EC 3.4.-.-)		Strongylocentrotus purpuratus (Purple sea urchin)	659
LOC590181	A0A7M7PRA0	A0A7M7PRA0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	328
LOC590181	A0A7M7PU94	A0A7M7PU94_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	322
LOC100889760	A0A7M7PW52	A0A7M7PW52_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1285
LOC100889760	A0A7M7T5V6	A0A7M7T5V6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1572
LOC579027	A0A7M7NVX4	A0A7M7NVX4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4492
LOC579027	A0A7M7NWP6	A0A7M7NWP6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4230
LOC579027	A0A7M7NYD1	A0A7M7NYD1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4587
LOC587396	A0A7M7PJX6	A0A7M7PJX6_STRPU	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)		Strongylocentrotus purpuratus (Purple sea urchin)	757
LOC587396	A0A7M7RDK1	A0A7M7RDK1_STRPU	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)		Strongylocentrotus purpuratus (Purple sea urchin)	916
LOC115928152	A0A7M7PFY1	A0A7M7PFY1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1178
LOC100893605	A0A7M7GIC6	A0A7M7GIC6_STRPU	unreviewed	Methyltranfer_dom domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	440
LOC581327	A0A7M7RBM8	A0A7M7RBM8_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	279
LOC105446088	A0A7M7NJI2	A0A7M7NJI2_STRPU	unreviewed	PHD-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	629
LOC575180	A0A7M7N5L5	A0A7M7N5L5_STRPU	unreviewed	Adenylate cyclase (EC 4.6.1.1)		Strongylocentrotus purpuratus (Purple sea urchin)	1165
LOC575180	A0A7M7SU86	A0A7M7SU86_STRPU	unreviewed	Adenylate cyclase (EC 4.6.1.1)		Strongylocentrotus purpuratus (Purple sea urchin)	1143
LOC593204	A0A7M7P0C6	A0A7M7P0C6_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	585
LOC593204	A0A7M7P1D9	A0A7M7P1D9_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	573
LOC593204	A0A7M7P301	A0A7M7P301_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	633
LOC100887977	A0A7M7GFS2	A0A7M7GFS2_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	372
LOC586484	A0A7M7P4S8	A0A7M7P4S8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	262
LOC583790	A0A7M7HMP8	A0A7M7HMP8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	371
LOC594176	A0A7M7TH99	A0A7M7TH99_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	500
LOC592519	A0A7M7PRE1	A0A7M7PRE1_STRPU	unreviewed	DUF2428 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1512
LOC592519	A0A7M7PSA1	A0A7M7PSA1_STRPU	unreviewed	DUF2428 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1738
LOC592519	A0A7M7PUF0	A0A7M7PUF0_STRPU	unreviewed	DUF2428 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1543
LOC592519	A0A7M7T5M6	A0A7M7T5M6_STRPU	unreviewed	DUF2428 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1713
LOC592519	A0A7M7T5P0	A0A7M7T5P0_STRPU	unreviewed	DUF2428 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1756
LOC587976	A0A7M7N683	A0A7M7N683_STRPU	unreviewed	AP-1 complex subunit gamma		Strongylocentrotus purpuratus (Purple sea urchin)	889
LOC587976	A0A7M7N685	A0A7M7N685_STRPU	unreviewed	AP-1 complex subunit gamma		Strongylocentrotus purpuratus (Purple sea urchin)	861
LOC587976	A0A7M7N6U4	A0A7M7N6U4_STRPU	unreviewed	AP-1 complex subunit gamma		Strongylocentrotus purpuratus (Purple sea urchin)	877
LOC587976	A0A7M7SUA0	A0A7M7SUA0_STRPU	unreviewed	AP-1 complex subunit gamma		Strongylocentrotus purpuratus (Purple sea urchin)	905
LOC764876	A0A7M7N0L8	A0A7M7N0L8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	266
LOC115920256	A0A7M7SU40	A0A7M7SU40_STRPU	unreviewed	Arrestin_N domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	219
LOC586973	A0A7M7NDX8	A0A7M7NDX8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	527
LOC115920669	A0A7M7N8V7	A0A7M7N8V7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1467
LOC105439799	A0A7M7PFF2	A0A7M7PFF2_STRPU	unreviewed	H15 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1250
LOC105436999	A0A7M7N0Z5	A0A7M7N0Z5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1388
LOC105436999	A0A7M7N1J2	A0A7M7N1J2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1675
LOC105436999	A0A7M7STA9	A0A7M7STA9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1747
LOC580441	A0A7M7TGG5	A0A7M7TGG5_STRPU	unreviewed	PCI domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	303
LOC115920717	A0A7M7N9B9	A0A7M7N9B9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	126
LOC764722	A0A7M7G1P7	A0A7M7G1P7_STRPU	unreviewed	ShKT domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	626
LOC100889245	A0A7M7NZ75	A0A7M7NZ75_STRPU	unreviewed	Rap-GAP domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	814
LOC100889245	A0A7M7SZQ3	A0A7M7SZQ3_STRPU	unreviewed	Rap-GAP domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	838
LOC115918413	A0A7M7SV39	A0A7M7SV39_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	190
LOC588196	A0A7M7HR42	A0A7M7HR42_STRPU	unreviewed	IRS-type PTB domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	602
LOC588196	A0A7M7RDR7	A0A7M7RDR7_STRPU	unreviewed	IRS-type PTB domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	601
LOC763357	A0A7M7G0H0	A0A7M7G0H0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	532
LOC763357	A0A7M7HNT8	A0A7M7HNT8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	531
LOC115919059	A0A7M7PP72	A0A7M7PP72_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	742
LOC589923	A0A7M7HI79	A0A7M7HI79_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2239
LOC589923	A0A7M7HIF8	A0A7M7HIF8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2241
LOC589923	A0A7M7HLH5	A0A7M7HLH5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2268
LOC589923	A0A7M7PH56	A0A7M7PH56_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2203
LOC582498	A0A7M7RFU6	A0A7M7RFU6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	748
LOC105445704	A0A7M7SW64	A0A7M7SW64_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	888
LOC762510	A0A7M7G9X6	A0A7M7G9X6_STRPU	unreviewed	C-type lectin domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	187
LOC105440146	A0A7M7LT02	A0A7M7LT02_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	173
LOC105440146	A0A7M7N4D3	A0A7M7N4D3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	155
LOC105440146	A0A7M7N790	A0A7M7N790_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	173
LOC105440146	A0A7M7STW1	A0A7M7STW1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	173
LOC105440146	A0A7M7SU03	A0A7M7SU03_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	155
LOC584520	A0A7M7MY43	A0A7M7MY43_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1368
LOC584520	A0A7M7MYB2	A0A7M7MYB2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1347
LOC584520	A0A7M7MYB9	A0A7M7MYB9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1365
LOC584520	A0A7M7MYH4	A0A7M7MYH4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1324
LOC584520	A0A7M7MZ71	A0A7M7MZ71_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1299
LOC584520	A0A7M7N0F5	A0A7M7N0F5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1228
LOC576114	A0A7M7GGW2	A0A7M7GGW2_STRPU	unreviewed	WH1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	489
LOC576114	A0A7M7HHN1	A0A7M7HHN1_STRPU	unreviewed	WH1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	487
LOC576114	A0A7M7HKW7	A0A7M7HKW7_STRPU	unreviewed	VASP_tetra domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1080
LOC576114	A0A7M7HL55	A0A7M7HL55_STRPU	unreviewed	WH1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	511
LOC576114	A0A7M7HL61	A0A7M7HL61_STRPU	unreviewed	VASP_tetra domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1095
LOC576114	A0A7M7HNM6	A0A7M7HNM6_STRPU	unreviewed	VASP_tetra domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1118
LOC576114	A0A7M7HNZ8	A0A7M7HNZ8_STRPU	unreviewed	VASP_tetra domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1057
LOC576114	A0A7M7HP45	A0A7M7HP45_STRPU	unreviewed	WH1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	662
LOC576114	A0A7M7PVI8	A0A7M7PVI8_STRPU	unreviewed	WH1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	537
LOC590331	A0A7M7RGV3	A0A7M7RGV3_STRPU	unreviewed	Gln-synt_C domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	515
LOC591845	A0A7M7NVK7	A0A7M7NVK7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	670
LOC591845	A0A7M7NY79	A0A7M7NY79_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	593
LOC577145	A0A7M7MX38	A0A7M7MX38_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	675
LOC577145	A0A7M7RCQ3	A0A7M7RCQ3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	735
LOC105444488	A0A7M7PMI5	A0A7M7PMI5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	168
LOC578336	A0A7M7RAS3	A0A7M7RAS3_STRPU	unreviewed	IRF tryptophan pentad repeat domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	666
LOC115927746	A0A7M7PCX5	A0A7M7PCX5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	473
LOC576526	A0A7M7NTG3	A0A7M7NTG3_STRPU	unreviewed	DUF4485 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	989
LOC576526	A0A7M7NWE3	A0A7M7NWE3_STRPU	unreviewed	DUF4485 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	967
LOC576526	A0A7M7SYC1	A0A7M7SYC1_STRPU	unreviewed	DUF4485 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	960
LOC105437725	A0A7M7HJM4	A0A7M7HJM4_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	404
LOC763805	A0A7M7N7T6	A0A7M7N7T6_STRPU	unreviewed	MIF4G domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	797
LOC100893837	A0A7M7P7I2	A0A7M7P7I2_STRPU	unreviewed	tRNA-synt_2c domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	110
LOC100893538	A0A7M7PCG0	A0A7M7PCG0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	909
LOC100893465	A0A7M7GG63	A0A7M7GG63_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	550
LOC582631	A0A7M7SY23	A0A7M7SY23_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	12941
LOC105436589	A0A7M7PG96	A0A7M7PG96_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1386
LOC589754	A0A7M7N992	A0A7M7N992_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	445
LOC585142	A0A7M7NXE7	A0A7M7NXE7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	675
LOC585142	A0A7M7NXK7	A0A7M7NXK7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	675
LOC585142	A0A7M7NXM2	A0A7M7NXM2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	675
LOC585142	A0A7M7NXS0	A0A7M7NXS0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	675
LOC585142	A0A7M7NY51	A0A7M7NY51_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	675
LOC585142	A0A7M7NZ88	A0A7M7NZ88_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	675
LOC585142	A0A7M7P039	A0A7M7P039_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	643
LOC115928132	A0A7M7PGI4	A0A7M7PGI4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	303
LOC575136	A0A7M7N904	A0A7M7N904_STRPU	unreviewed	CaMBD domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	462
LOC115919285	A0A7M7MYR3	A0A7M7MYR3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	114
LOC582405	A0A7M7NE72	A0A7M7NE72_STRPU	unreviewed	G_PROTEIN_RECEP_F3_4 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2307
LOC584518	A0A7M7PQ54	A0A7M7PQ54_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2617
LOC584518	A0A7M7PSH9	A0A7M7PSH9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2611
LOC100893974	A0A7M7GHG2	A0A7M7GHG2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1743
LOC100893974	A0A7M7LU32	A0A7M7LU32_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1737
LOC100892774	A0A7M7HEZ2	A0A7M7HEZ2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	452
LOC100891068	A0A7M7NVD2	A0A7M7NVD2_STRPU	unreviewed	Fibronectin type-III domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	863
LOC574558	A0A7M7PLE4	A0A7M7PLE4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1296
LOC574558	A0A7M7PLT6	A0A7M7PLT6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1381
LOC574558	A0A7M7PNB2	A0A7M7PNB2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1360
LOC574558	A0A7M7PP40	A0A7M7PP40_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1339
LOC574558	A0A7M7PP89	A0A7M7PP89_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1320
LOC574558	A0A7M7PQ55	A0A7M7PQ55_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1297
LOC574558	A0A7M7PQM9	A0A7M7PQM9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1337
LOC574558	A0A7M7T4P3	A0A7M7T4P3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1334
LOC100892246	A0A7M7GHS2	A0A7M7GHS2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	180
LOC100892246	A0A7M7NMC9	A0A7M7NMC9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	236
LOC100887996	A0A7M7PUS3	A0A7M7PUS3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	201
LOC115920230	A0A7M7N578	A0A7M7N578_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	200
LOC754160	A0A7M7P8W8	A0A7M7P8W8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	749
LOC100892038	A0A7M7GG66	A0A7M7GG66_STRPU	unreviewed	Death domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	238
LOC589955	A0A7M7PCZ5	A0A7M7PCZ5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	260
LOC100888704	A0A7M7GP48	A0A7M7GP48_STRPU	unreviewed	SERTA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	411
LOC580880	A0A7M7PVG1	A0A7M7PVG1_STRPU	unreviewed	Bestrophin homolog		Strongylocentrotus purpuratus (Purple sea urchin)	663
LOC100888505	A0A7M7P2Z0	A0A7M7P2Z0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	409
LOC373388	A0A7M6UC58	A0A7M6UC58_STRPU	unreviewed	Proton-translocating NAD(P)(+) transhydrogenase (EC 7.1.1.1)		Strongylocentrotus purpuratus (Purple sea urchin)	1066
LOC574839	A0A7M7HNL5	A0A7M7HNL5_STRPU	unreviewed	Sulfatase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	527
LOC764317	A0A7M7G4D4	A0A7M7G4D4_STRPU	unreviewed	COMM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	199
LOC100890949	A0A7M7NPE2	A0A7M7NPE2_STRPU	unreviewed	RFX-type winged-helix domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	756
LOC574669	A0A7M7N9C8	A0A7M7N9C8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1972
LOC574669	A0A7M7N9G2	A0A7M7N9G2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2059
LOC574669	A0A7M7N9I8	A0A7M7N9I8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2042
LOC574669	A0A7M7N9M8	A0A7M7N9M8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2060
