#feat_name,source_int,mapped_int,source_id,mapped_id,source_length,mapped_length,source_start,source_stop,source_strand,source_sub_start,source_sub_stop,mapped_start,mapped_stop,mapped_strand,coverage,recip,asm_unit
Line:1,1,NULL,NW_022145205,NULL,1,NULL,58604,58604,+,NOMAP,NOALIGN,,,,,,
Line:19,1,1,NW_022145562,NW_003577770.1,1,1,27274,27274,+,27274,27274,14110,14110,-,1,First Pass,Primary Assembly
Line:20,1,1,NW_022145564,NW_003577097.1,1,1,695636,695636,+,695636,695636,53976,53976,-,1,First Pass,Primary Assembly
Line:21,1,1,NW_022145567,NW_003578266.1,1,1,64171,64171,+,64171,64171,226805,226805,-,1,First Pass,Primary Assembly
Line:21,1,2,NW_022145567,NW_003578181.1,1,1,64171,64171,+,64171,64171,74636,74636,-,1,Second Pass,Primary Assembly
Line:22,1,1,NW_022145567,NW_003578266.1,1,1,64528,64528,+,64528,64528,226448,226448,-,1,First Pass,Primary Assembly
Line:22,1,2,NW_022145567,NW_003578181.1,1,1,64528,64528,+,64528,64528,74282,74282,-,1,Second Pass,Primary Assembly
Line:23,1,1,NW_022145567,NW_003578538.1,1,1,309731,309731,+,309731,309731,70446,70446,-,1,First Pass,Primary Assembly
Line:24,1,NULL,NW_022145570,NULL,1,NULL,466300,466300,+,NOMAP,ALIGNGAP,,,,,,
Line:25,1,NULL,NW_022145570,NULL,1,NULL,466317,466317,+,NOMAP,ALIGNGAP,,,,,,
Line:26,1,NULL,NW_022145572,NULL,1,NULL,517157,517157,+,NOMAP,ALIGNGAP,,,,,,
Line:27,1,NULL,NW_022145572,NULL,1,NULL,517417,517417,+,NOMAP,ALIGNGAP,,,,,,
Line:28,1,1,NW_022145594,NW_003579769.1,1,1,7599,7599,+,7599,7599,36928,36928,-,1,First Pass,Primary Assembly
Line:28,1,2,NW_022145594,NW_003577346.1,1,1,7599,7599,+,7599,7599,425545,425545,-,1,Second Pass,Primary Assembly
Line:29,1,1,NW_022145594,NW_003581267.1,1,1,3740098,3740098,+,3740098,3740098,7035,7035,-,1,First Pass,Primary Assembly
Line:30,1,1,NW_022145594,NW_003578577.1,1,1,4140505,4140505,+,4140505,4140505,102740,102740,-,1,First Pass,Primary Assembly
Line:31,1,1,NW_022145594,NW_003582404.1,1,1,4275263,4275263,+,4275263,4275263,764,764,-,1,First Pass,Primary Assembly
Line:32,1,1,NW_022145594,NW_003578148.1,1,1,4312147,4312147,+,4312147,4312147,97923,97923,+,1,First Pass,Primary Assembly
Line:33,1,1,NW_022145594,NW_003578148.1,1,1,4312333,4312333,+,4312333,4312333,98109,98109,+,1,First Pass,Primary Assembly
Line:34,1,1,NW_022145594,NW_003578148.1,1,1,4362106,4362106,+,4362106,4362106,142627,142627,+,1,First Pass,Primary Assembly
Line:35,1,NULL,NW_022145594,NULL,1,NULL,4686251,4686251,+,NOMAP,ALIGNGAP,,,,,,
Line:36,1,1,NW_022145594,NW_003579225.1,1,1,4695977,4695977,+,4695977,4695977,197791,197791,-,1,First Pass,Primary Assembly
Line:37,1,1,NW_022145594,NW_003579225.1,1,1,4697506,4697506,+,4697506,4697506,196261,196261,-,1,First Pass,Primary Assembly
Line:38,1,1,NW_022145594,NW_003577592.1,1,1,5468273,5468273,+,5468273,5468273,367677,367677,-,1,First Pass,Primary Assembly
Line:39,1,1,NW_022145594,NW_003577277.1,1,1,5506144,5506144,+,5506144,5506144,12649,12649,-,1,Second Pass,Primary Assembly
Line:40,1,1,NW_022145594,NW_003576995.1,1,1,8398413,8398413,+,8398413,8398413,285706,285706,+,1,First Pass,Primary Assembly
Line:41,1,1,NW_022145594,NW_003581097.1,1,1,8580431,8580431,+,8580431,8580431,8241,8241,-,1,First Pass,Primary Assembly
Line:42,1,1,NW_022145594,NW_003576991.1,1,1,8651497,8651497,+,8651497,8651497,448925,448925,-,1,First Pass,Primary Assembly
Line:43,1,1,NW_022145594,NW_003576991.1,1,1,8659474,8659474,+,8659474,8659474,441038,441038,-,1,First Pass,Primary Assembly
Line:44,1,1,NW_022145594,NW_003576991.1,1,1,8670128,8670128,+,8670128,8670128,431515,431515,-,1,First Pass,Primary Assembly
Line:45,1,1,NW_022145594,NW_003576991.1,1,1,8687823,8687823,+,8687823,8687823,413044,413044,-,1,First Pass,Primary Assembly
Line:46,1,1,NW_022145594,NW_003576991.1,1,1,8764091,8764091,+,8764091,8764091,334861,334861,-,1,First Pass,Primary Assembly
Line:47,1,1,NW_022145594,NW_003576991.1,1,1,8781257,8781257,+,8781257,8781257,317765,317765,-,1,First Pass,Primary Assembly
Line:48,1,1,NW_022145594,NW_003576991.1,1,1,8787211,8787211,+,8787211,8787211,311811,311811,-,1,First Pass,Primary Assembly
Line:49,1,1,NW_022145594,NW_003576991.1,1,1,8822165,8822165,+,8822165,8822165,279155,279155,-,1,First Pass,Primary Assembly
Line:50,1,1,NW_022145594,NW_003576991.1,1,1,8836102,8836102,+,8836102,8836102,265219,265219,-,1,First Pass,Primary Assembly
Line:51,1,1,NW_022145594,NW_003576991.1,1,1,8960933,8960933,+,8960933,8960933,148949,148949,-,1,First Pass,Primary Assembly
Line:52,1,1,NW_022145594,NW_003576991.1,1,1,8988212,8988212,+,8988212,8988212,121367,121367,-,1,First Pass,Primary Assembly
Line:53,1,1,NW_022145594,NW_003576991.1,1,1,9026440,9026440,+,9026440,9026440,88805,88805,-,1,First Pass,Primary Assembly
Line:54,1,NULL,NW_022145594,NULL,1,NULL,9183918,9183918,+,NOMAP,ALIGNGAP,,,,,,
Line:55,1,1,NW_022145594,NW_003577448.1,1,1,9184091,9184091,+,9184091,9184091,316282,316282,+,1,First Pass,Primary Assembly
Line:56,1,1,NW_022145594,NW_003578444.1,1,1,10052671,10052671,+,10052671,10052671,76043,76043,-,1,First Pass,Primary Assembly
Line:57,1,1,NW_022145594,NW_003580697.1,1,1,10161598,10161598,+,10161598,10161598,11955,11955,+,1,First Pass,Primary Assembly
Line:58,1,1,NW_022145594,NW_003578824.1,1,1,11408770,11408770,+,11408770,11408770,13618,13618,-,1,First Pass,Primary Assembly
Line:59,1,1,NW_022145594,NW_003585277.1,1,1,12161015,12161015,+,12161015,12161015,4722,4722,+,1,First Pass,Primary Assembly
Line:59,1,2,NW_022145594,NW_003577759.1,1,1,12161015,12161015,+,12161015,12161015,73171,73171,+,1,Second Pass,Primary Assembly
Line:60,1,1,NW_022145594,NW_003585277.1,1,1,12165389,12165389,+,12165389,12165389,9096,9096,+,1,First Pass,Primary Assembly
Line:60,1,2,NW_022145594,NW_003577759.1,1,1,12165389,12165389,+,12165389,12165389,77638,77638,+,1,Second Pass,Primary Assembly
Line:61,1,1,NW_022145594,NW_003585277.1,1,1,12165408,12165408,+,12165408,12165408,9115,9115,+,1,First Pass,Primary Assembly
Line:61,1,2,NW_022145594,NW_003577759.1,1,1,12165408,12165408,+,12165408,12165408,77657,77657,+,1,Second Pass,Primary Assembly
Line:62,1,1,NW_022145594,NW_003585277.1,1,1,12165480,12165480,+,12165480,12165480,9187,9187,+,1,First Pass,Primary Assembly
Line:62,1,2,NW_022145594,NW_003577759.1,1,1,12165480,12165480,+,12165480,12165480,77729,77729,+,1,Second Pass,Primary Assembly
Line:63,1,1,NW_022145594,NW_003585277.1,1,1,12168224,12168224,+,12168224,12168224,11931,11931,+,1,First Pass,Primary Assembly
Line:63,1,2,NW_022145594,NW_003577759.1,1,1,12168224,12168224,+,12168224,12168224,80469,80469,+,1,Second Pass,Primary Assembly
Line:64,1,1,NW_022145594,NW_003577759.1,1,1,12189223,12189223,+,12189223,12189223,16646,16646,+,1,First Pass,Primary Assembly
Line:65,1,1,NW_022145594,NW_003577759.1,1,1,12190735,12190735,+,12190735,12190735,18159,18159,+,1,First Pass,Primary Assembly
Line:66,1,1,NW_022145594,NW_003577759.1,1,1,12192455,12192455,+,12192455,12192455,19880,19880,+,1,First Pass,Primary Assembly
Line:67,1,1,NW_022145594,NW_003577759.1,1,1,12219747,12219747,+,12219747,12219747,164890,164890,+,1,First Pass,Primary Assembly
Line:68,1,1,NW_022145594,NW_003577759.1,1,1,12220287,12220287,+,12220287,12220287,165430,165430,+,1,First Pass,Primary Assembly
Line:69,1,1,NW_022145594,NW_003577295.1,1,1,17788703,17788703,+,17788703,17788703,149852,149852,+,1,First Pass,Primary Assembly
Line:70,1,1,NW_022145594,NW_003577735.1,1,1,19102225,19102225,+,19102225,19102225,418039,418039,+,1,First Pass,Primary Assembly
Line:71,1,1,NW_022145594,NW_003577735.1,1,1,19103257,19103257,+,19103257,19103257,419071,419071,+,1,First Pass,Primary Assembly
Line:72,1,1,NW_022145594,NW_003576983.1,1,1,26913153,26913153,+,26913153,26913153,1156325,1156325,-,1,First Pass,Primary Assembly
Line:73,1,1,NW_022145594,NW_003578577.1,1,1,27165331,27165331,+,27165331,27165331,43053,43053,+,1,First Pass,Primary Assembly
Line:74,1,1,NW_022145594,NW_003576983.1,1,1,27208994,27208994,+,27208994,27208994,915351,915351,-,1,Second Pass,Primary Assembly
Line:74,1,2,NW_022145594,NW_003576983.1,1,1,27208994,27208994,+,27208994,27208994,917199,917199,-,1,First Pass,Primary Assembly
Line:75,1,1,NW_022145594,NW_003576983.1,1,1,27209379,27209379,+,27209379,27209379,914968,914968,-,1,First Pass,Primary Assembly
Line:76,1,1,NW_022145594,NW_003576983.1,1,1,27209391,27209391,+,27209391,27209391,914959,914959,-,1,First Pass,Primary Assembly
Line:77,1,1,NW_022145594,NW_003577970.1,1,1,27760386,27760386,+,27760386,27760386,12845,12845,+,1,First Pass,Primary Assembly
Line:78,1,1,NW_022145594,NW_003577404.1,1,1,28619491,28619491,+,28619491,28619491,374114,374114,-,1,First Pass,Primary Assembly
Line:79,1,1,NW_022145594,NW_003577087.1,1,1,29182837,29182837,+,29182837,29182837,636097,636097,-,1,First Pass,Primary Assembly
Line:80,1,1,NW_022145594,NW_003577087.1,1,1,29225282,29225282,+,29225282,29225282,589133,589133,-,1,First Pass,Primary Assembly
Line:81,1,1,NW_022145594,NW_003577105.1,1,1,31549735,31549735,+,31549735,31549735,90688,90688,+,1,First Pass,Primary Assembly
Line:82,1,1,NW_022145594,NW_003577105.1,1,1,31550222,31550222,+,31550222,31550222,91174,91174,+,1,First Pass,Primary Assembly
Line:83,1,1,NW_022145594,NW_003577105.1,1,1,31550733,31550733,+,31550733,31550733,91684,91684,+,1,First Pass,Primary Assembly
Line:84,1,1,NW_022145594,NW_003578026.1,1,1,32263675,32263675,+,32263675,32263675,220006,220006,+,1,First Pass,Primary Assembly
Line:85,1,1,NW_022145594,NW_003577196.1,1,1,32298439,32298439,+,32298439,32298439,50354,50354,-,1,First Pass,Primary Assembly
Line:86,1,1,NW_022145594,NW_003578485.1,1,1,38602386,38602386,+,38602386,38602386,81819,81819,-,1,Second Pass,Primary Assembly
Line:86,1,2,NW_022145594,NW_003577587.1,1,1,38602386,38602386,+,38602386,38602386,116250,116250,-,1,First Pass,Primary Assembly
Line:87,1,1,NW_022145594,NW_003577900.1,1,1,39299373,39299373,+,39299373,39299373,47390,47390,-,1,First Pass,Primary Assembly
Line:88,1,1,NW_022145594,NW_003577554.1,1,1,41369518,41369518,+,41369518,41369518,221993,221993,+,1,First Pass,Primary Assembly
Line:89,1,1,NW_022145594,NW_003578203.1,1,1,41735660,41735660,+,41735660,41735660,110946,110946,-,1,First Pass,Primary Assembly
Line:90,1,1,NW_022145594,NW_003576974.1,1,1,41996692,41996692,+,41996692,41996692,852002,852002,+,1,First Pass,Primary Assembly
Line:91,1,1,NW_022145594,NW_003576974.1,1,1,42084774,42084774,+,42084774,42084774,948729,948729,+,1,First Pass,Primary Assembly
Line:92,1,1,NW_022145594,NW_003576974.1,1,1,42202373,42202373,+,42202373,42202373,1079566,1079566,+,1,First Pass,Primary Assembly
Line:93,1,1,NW_022145594,NW_003578648.1,1,1,42230994,42230994,+,42230994,42230994,143392,143392,+,1,Second Pass,Primary Assembly
Line:93,1,2,NW_022145594,NW_003576974.1,1,1,42230994,42230994,+,42230994,42230994,1103669,1103669,+,1,First Pass,Primary Assembly
Line:94,1,1,NW_022145594,NW_003576974.1,1,1,42352830,42352830,+,42352830,42352830,1237609,1237609,+,1,First Pass,Primary Assembly
Line:95,1,1,NW_022145594,NW_003578814.1,1,1,43938780,43938780,+,43938780,43938780,73225,73225,+,1,Second Pass,Primary Assembly
Line:95,1,2,NW_022145594,NW_003577725.1,1,1,43938780,43938780,+,43938780,43938780,239860,239860,-,1,First Pass,Primary Assembly
Line:96,1,1,NW_022145594,NW_003579864.1,1,1,48084323,48084323,+,48084323,48084323,27013,27013,+,1,First Pass,Primary Assembly
Line:96,1,2,NW_022145594,NW_003578529.1,1,1,48084323,48084323,+,48084323,48084323,33669,33669,-,1,Second Pass,Primary Assembly
Line:97,1,1,NW_022145594,NW_003577041.1,1,1,49496375,49496375,+,49496375,49496375,462287,462287,-,1,First Pass,Primary Assembly
Line:98,1,1,NW_022145594,NW_003577041.1,1,1,49538690,49538690,+,49538690,49538690,413781,413781,-,1,First Pass,Primary Assembly
Line:99,1,1,NW_022145594,NW_003579715.1,1,1,49946401,49946401,+,49946401,49946401,21971,21971,-,1,First Pass,Primary Assembly
Line:100,1,1,NW_022145594,NW_003577863.1,1,1,50367795,50367795,+,50367795,50367795,64905,64905,-,1,First Pass,Primary Assembly
Line:101,1,1,NW_022145594,NW_003577587.1,1,1,50634705,50634705,+,50634705,50634705,105432,105432,-,1,First Pass,Primary Assembly
Line:102,1,1,NW_022145594,NW_003578716.1,1,1,51570773,51570773,+,51570773,51570773,50076,50076,+,1,First Pass,Primary Assembly
Line:103,1,1,NW_022145594,NW_003578716.1,1,1,51601360,51601360,+,51601360,51601360,85554,85554,+,1,First Pass,Primary Assembly
Line:104,1,1,NW_022145594,NW_003577875.1,1,1,51802659,51802659,+,51802659,51802659,79310,79310,+,1,First Pass,Primary Assembly
Line:105,1,1,NW_022145595,NW_003578781.1,1,1,346032,346032,+,346032,346032,64992,64992,+,1,First Pass,Primary Assembly
Line:106,1,1,NW_022145595,NW_003577360.1,1,1,420721,420721,+,420721,420721,331268,331268,+,1,First Pass,Primary Assembly
Line:107,1,1,NW_022145595,NW_003579587.1,1,1,423205,423205,+,423205,423205,19659,19659,+,1,First Pass,Primary Assembly
Line:108,1,1,NW_022145595,NW_003579587.1,1,1,427370,427370,+,427370,427370,23299,23299,+,1,First Pass,Primary Assembly
Line:109,1,1,NW_022145595,NW_003579587.1,1,1,428146,428146,+,428146,428146,24075,24075,+,1,First Pass,Primary Assembly
Line:110,1,1,NW_022145595,NW_003577692.1,1,1,870507,870507,+,870507,870507,243979,243979,-,1,First Pass,Primary Assembly
Line:111,1,1,NW_022145595,NW_003577700.1,1,1,1463574,1463574,+,1463574,1463574,63693,63693,-,1,First Pass,Primary Assembly
Line:112,1,1,NW_022145595,NW_003577022.1,1,1,1738460,1738460,+,1738460,1738460,537163,537163,-,1,First Pass,Primary Assembly
Line:113,1,1,NW_022145595,NW_003577022.1,1,1,1750196,1750196,+,1750196,1750196,522441,522441,-,1,First Pass,Primary Assembly
Line:114,1,1,NW_022145595,NW_003577022.1,1,1,1752060,1752060,+,1752060,1752060,520577,520577,-,1,First Pass,Primary Assembly
Line:115,1,1,NW_022145595,NW_003577022.1,1,1,1752063,1752063,+,1752063,1752063,520574,520574,-,1,First Pass,Primary Assembly
Line:116,1,1,NW_022145595,NW_003577022.1,1,1,1772704,1772704,+,1772704,1772704,499506,499506,-,1,First Pass,Primary Assembly
Line:117,1,1,NW_022145595,NW_003577022.1,1,1,1801513,1801513,+,1801513,1801513,469514,469514,-,1,First Pass,Primary Assembly
Line:118,1,1,NW_022145595,NW_003577022.1,1,1,1827862,1827862,+,1827862,1827862,443517,443517,-,1,First Pass,Primary Assembly
Line:119,1,1,NW_022145595,NW_003577022.1,1,1,1828721,1828721,+,1828721,1828721,442658,442658,-,1,First Pass,Primary Assembly
Line:120,1,1,NW_022145595,NW_003577022.1,1,1,1829034,1829034,+,1829034,1829034,442345,442345,-,1,First Pass,Primary Assembly
Line:121,1,1,NW_022145595,NW_003577022.1,1,1,1845992,1845992,+,1845992,1845992,425387,425387,-,1,First Pass,Primary Assembly
Line:122,1,1,NW_022145595,NW_003577022.1,1,1,1885037,1885037,+,1885037,1885037,386208,386208,-,1,First Pass,Primary Assembly
Line:123,1,1,NW_022145595,NW_003577022.1,1,1,1960469,1960469,+,1960469,1960469,331002,331002,-,1,First Pass,Primary Assembly
Line:124,1,1,NW_022145595,NW_003577022.1,1,1,1972866,1972866,+,1972866,1972866,319438,319438,-,1,First Pass,Primary Assembly
Line:125,1,1,NW_022145595,NW_003577022.1,1,1,2046115,2046115,+,2046115,2046115,248973,248973,-,1,First Pass,Primary Assembly
Line:126,1,NULL,NW_022145595,NULL,1,NULL,2874054,2874054,+,NOMAP,ALIGNGAP,,,,,,
Line:127,1,1,NW_022145595,NW_003577063.1,1,1,3019175,3019175,+,3019175,3019175,415758,415758,-,1,First Pass,Primary Assembly
Line:128,1,1,NW_022145595,NW_003577063.1,1,1,3019225,3019225,+,3019225,3019225,415708,415708,-,1,First Pass,Primary Assembly
Line:129,1,1,NW_022145595,NW_003577063.1,1,1,3119824,3119824,+,3119824,3119824,308807,308807,-,1,First Pass,Primary Assembly
Line:130,1,1,NW_022145595,NW_003577063.1,1,1,3119913,3119913,+,3119913,3119913,308718,308718,-,1,First Pass,Primary Assembly
Line:131,1,1,NW_022145595,NW_003578746.1,1,1,3683765,3683765,+,3683765,3683765,91345,91345,-,1,First Pass,Primary Assembly
Line:132,1,1,NW_022145595,NW_003580196.1,1,1,4159607,4159607,+,4159607,4159607,11786,11786,+,1,Second Pass,Primary Assembly
Line:132,1,2,NW_022145595,NW_003577446.1,1,1,4159607,4159607,+,4159607,4159607,115261,115261,+,1,First Pass,Primary Assembly
Line:133,1,1,NW_022145595,NW_003580196.1,1,1,4161006,4161006,+,4161006,4161006,14701,14701,+,1,Second Pass,Primary Assembly
Line:133,1,2,NW_022145595,NW_003577446.1,1,1,4161006,4161006,+,4161006,4161006,116660,116660,+,1,First Pass,Primary Assembly
Line:134,1,1,NW_022145595,NW_003580196.1,1,1,4161200,4161200,+,4161200,4161200,14895,14895,+,1,Second Pass,Primary Assembly
Line:134,1,2,NW_022145595,NW_003577446.1,1,1,4161200,4161200,+,4161200,4161200,116854,116854,+,1,First Pass,Primary Assembly
Line:135,1,1,NW_022145595,NW_003577446.1,1,1,4164698,4164698,+,4164698,4164698,120530,120530,+,1,First Pass,Primary Assembly
Line:136,1,1,NW_022145595,NW_003577446.1,1,1,4171160,4171160,+,4171160,4171160,127002,127002,+,1,First Pass,Primary Assembly
Line:137,1,1,NW_022145595,NW_003577446.1,1,1,4187230,4187230,+,4187230,4187230,142976,142976,+,1,First Pass,Primary Assembly
Line:138,1,1,NW_022145595,NW_003577446.1,1,1,4207496,4207496,+,4207496,4207496,168556,168556,+,1,First Pass,Primary Assembly
Line:139,1,1,NW_022145595,NW_003577446.1,1,1,4325319,4325319,+,4325319,4325319,285316,285316,+,1,First Pass,Primary Assembly
Line:140,1,1,NW_022145595,NW_003577112.1,1,1,4949717,4949717,+,4949717,4949717,252457,252457,-,1,First Pass,Primary Assembly
Line:141,1,1,NW_022145595,NW_003577112.1,1,1,4949985,4949985,+,4949985,4949985,252189,252189,-,1,First Pass,Primary Assembly
Line:142,1,1,NW_022145595,NW_003581760.1,1,1,4951004,4951004,+,4951004,4951004,3518,3518,-,1,First Pass,Primary Assembly
Line:143,1,1,NW_022145595,NW_003581760.1,1,1,4951021,4951021,+,4951021,4951021,3501,3501,-,1,First Pass,Primary Assembly
Line:144,1,1,NW_022145595,NW_003580631.1,1,1,5247730,5247730,+,5247730,5247730,36730,36730,-,1,Second Pass,Primary Assembly
Line:144,1,2,NW_022145595,NW_003580631.1,1,1,5247730,5247730,+,5247730,5247730,28018,28018,-,1,First Pass,Primary Assembly
Line:145,1,1,NW_022145595,NW_003580631.1,1,1,5247739,5247739,+,5247739,5247739,36721,36721,-,1,Second Pass,Primary Assembly
Line:146,1,1,NW_022145595,NW_003577125.1,1,1,5746602,5746602,+,5746602,5746602,578665,578665,-,1,First Pass,Primary Assembly
Line:147,1,1,NW_022145595,NW_003577708.1,1,1,5917358,5917358,+,5917358,5917358,329224,329224,-,1,First Pass,Primary Assembly
Line:148,1,1,NW_022145595,NW_003577708.1,1,1,5939765,5939765,+,5939765,5939765,304288,304288,-,1,First Pass,Primary Assembly
Line:149,1,1,NW_022145595,NW_003577708.1,1,1,5981802,5981802,+,5981802,5981802,260729,260729,-,1,First Pass,Primary Assembly
Line:150,1,1,NW_022145595,NW_003577708.1,1,1,5982727,5982727,+,5982727,5982727,259804,259804,-,1,First Pass,Primary Assembly
Line:151,1,1,NW_022145595,NW_003577708.1,1,1,5982739,5982739,+,5982739,5982739,259792,259792,-,1,First Pass,Primary Assembly
Line:152,1,1,NW_022145595,NW_003577708.1,1,1,6163165,6163165,+,6163165,6163165,52004,52004,-,1,First Pass,Primary Assembly
Line:153,1,1,NW_022145595,NW_003577708.1,1,1,6163917,6163917,+,6163917,6163917,51252,51252,-,1,First Pass,Primary Assembly
Line:154,1,1,NW_022145595,NW_003578407.1,1,1,6474824,6474824,+,6474824,6474824,276142,276142,+,1,First Pass,Primary Assembly
Line:155,1,1,NW_022145595,NW_003577235.1,1,1,8697891,8697891,+,8697891,8697891,352396,352396,-,1,First Pass,Primary Assembly
Line:156,1,NULL,NW_022145595,NULL,1,NULL,8741985,8741985,+,NOMAP,ALIGNGAP,,,,,,
Line:157,1,1,NW_022145595,NW_003576982.1,1,1,9117293,9117293,+,9117293,9117293,981304,981304,-,1,First Pass,Primary Assembly
Line:158,1,1,NW_022145595,NW_003576982.1,1,1,9181378,9181378,+,9181378,9181378,915980,915980,-,1,First Pass,Primary Assembly
Line:159,1,1,NW_022145595,NW_003579173.1,1,1,11782160,11782160,+,11782160,11782160,69908,69908,-,1,First Pass,Primary Assembly
Line:160,1,1,NW_022145595,NW_003579173.1,1,1,11811654,11811654,+,11811654,11811654,41703,41703,-,1,First Pass,Primary Assembly
Line:161,1,1,NW_022145595,NW_003581661.1,1,1,11843823,11843823,+,11843823,11843823,20279,20279,+,1,First Pass,Primary Assembly
Line:162,1,1,NW_022145595,NW_003581661.1,1,1,11850225,11850225,+,11850225,11850225,25662,25662,+,1,First Pass,Primary Assembly
Line:163,1,1,NW_022145595,NW_003581661.1,1,1,11851732,11851732,+,11851732,11851732,27122,27122,+,1,First Pass,Primary Assembly
Line:164,1,1,NW_022145595,NW_003577003.1,1,1,12784238,12784238,+,12784238,12784238,374568,374568,+,1,First Pass,Primary Assembly
Line:165,1,1,NW_022145595,NW_003579170.1,1,1,12839988,12839988,+,12839988,12839988,166579,166579,+,1,First Pass,Primary Assembly
Line:166,1,1,NW_022145595,NW_003577790.1,1,1,12919824,12919824,+,12919824,12919824,139968,139968,+,1,First Pass,Primary Assembly
Line:167,1,1,NW_022145595,NW_003579494.1,1,1,12982866,12982866,+,12982866,12982866,17388,17388,-,1,First Pass,Primary Assembly
Line:168,1,1,NW_022145595,NW_003578991.1,1,1,13076123,13076123,+,13076123,13076123,85195,85195,+,1,First Pass,Primary Assembly
Line:169,1,1,NW_022145595,NW_003579531.1,1,1,13182647,13182647,+,13182647,13182647,32623,32623,+,1,First Pass,Primary Assembly
Line:170,1,1,NW_022145595,NW_003578365.1,1,1,13337589,13337589,+,13337589,13337589,69512,69512,+,1,First Pass,Primary Assembly
Line:171,1,NULL,NW_022145595,NULL,1,NULL,13693532,13693532,+,NOMAP,ALIGNGAP,,,,,,
Line:172,1,1,NW_022145595,NW_003577064.1,1,1,13797175,13797175,+,13797175,13797175,423878,423878,-,1,First Pass,Primary Assembly
Line:173,1,1,NW_022145595,NW_003577064.1,1,1,14009396,14009396,+,14009396,14009396,187707,187707,-,1,First Pass,Primary Assembly
Line:174,1,1,NW_022145595,NW_003577064.1,1,1,14017174,14017174,+,14017174,14017174,180358,180358,-,1,First Pass,Primary Assembly
Line:175,1,1,NW_022145595,NW_003577064.1,1,1,14035793,14035793,+,14035793,14035793,160596,160596,-,1,First Pass,Primary Assembly
Line:176,1,1,NW_022145595,NW_003577064.1,1,1,14037506,14037506,+,14037506,14037506,158911,158911,-,1,First Pass,Primary Assembly
Line:177,1,1,NW_022145595,NW_003577064.1,1,1,14051636,14051636,+,14051636,14051636,144244,144244,-,1,First Pass,Primary Assembly
Line:178,1,1,NW_022145595,NW_003577064.1,1,1,14070661,14070661,+,14070661,14070661,124652,124652,-,1,First Pass,Primary Assembly
Line:179,1,1,NW_022145595,NW_003577064.1,1,1,14070666,14070666,+,14070666,14070666,124647,124647,-,1,First Pass,Primary Assembly
