yourlist:M202206095BF3C56A578D7D6DFD1FC81EE5DA773050093F2	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC100890759	A0A7M7STU3	A0A7M7STU3_STRPU	unreviewed	GPI ethanolamine phosphate transferase 1 (EC 2.-.-.-)		Strongylocentrotus purpuratus (Purple sea urchin)	931
LOC100888989	A0A7M7NL20	A0A7M7NL20_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	761
LOC587396	A0A7M7PJX6	A0A7M7PJX6_STRPU	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)		Strongylocentrotus purpuratus (Purple sea urchin)	757
LOC587396	A0A7M7RDK1	A0A7M7RDK1_STRPU	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)		Strongylocentrotus purpuratus (Purple sea urchin)	916
LOC115920402	A0A7M7N738	A0A7M7N738_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	444
LOC115928152	A0A7M7PFY1	A0A7M7PFY1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1178
LOC115920672	A0A7M7N8S4	A0A7M7N8S4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	118
LOC764741	A0A7M7P776	A0A7M7P776_STRPU	unreviewed	Peptidylprolyl isomerase (EC 5.2.1.8)		Strongylocentrotus purpuratus (Purple sea urchin)	482
LOC105439812	A0A7M7NB70	A0A7M7NB70_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	795
LOC105439802	A0A7M7LSY4	A0A7M7LSY4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1000
LOC577772	A0A7M7N5L1	A0A7M7N5L1_STRPU	unreviewed	RNA helicase (EC 3.6.4.13)		Strongylocentrotus purpuratus (Purple sea urchin)	764
LOC105446088	A0A7M7NJI2	A0A7M7NJI2_STRPU	unreviewed	PHD-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	629
LOC115925244	A0A7M7T0G7	A0A7M7T0G7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	566
LOC115922994	A0A7M7NPT4	A0A7M7NPT4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	169
LOC100893121	A0A7M7P9V5	A0A7M7P9V5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	620
LOC593204	A0A7M7P0C6	A0A7M7P0C6_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	585
LOC593204	A0A7M7P1D9	A0A7M7P1D9_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	573
LOC593204	A0A7M7P301	A0A7M7P301_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	633
LOC105443558	A0A7M7SY64	A0A7M7SY64_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	548
LOC576030	A0A7M7P9H7	A0A7M7P9H7_STRPU	unreviewed	acidPPc domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	304
LOC576030	A0A7M7PA95	A0A7M7PA95_STRPU	unreviewed	acidPPc domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	297
LOC115921244	A0A7M7NCB5	A0A7M7NCB5_STRPU	unreviewed	DDE Tnp4 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	101
LOC583790	A0A7M7HMP8	A0A7M7HMP8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	371
LOC115927937	A0A7M7PEM6	A0A7M7PEM6_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	354
LOC100891526	A0A7M7HM13	A0A7M7HM13_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	362
LOC115923838	A0A7M7NYA1	A0A7M7NYA1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	328
LOC592209	A0A7M7NV90	A0A7M7NV90_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	339
LOC592209	A0A7M7NVC9	A0A7M7NVC9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	344
LOC592209	A0A7M7TH62	A0A7M7TH62_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	322
LOC575829	A0A7M7NAN5	A0A7M7NAN5_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	310
LOC115920669	A0A7M7N8V7	A0A7M7N8V7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1467
LOC586017	A0A7M7NXE1	A0A7M7NXE1_STRPU	unreviewed	Lipase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	312
LOC105439374	A0A7M7NLS4	A0A7M7NLS4_STRPU	unreviewed	PDZ domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	191
LOC105444654	A0A7M7MZP7	A0A7M7MZP7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	450
LOC100893063	A0A7M7HJW1	A0A7M7HJW1_STRPU	unreviewed	Carboxylic ester hydrolase (EC 3.1.1.-)		Strongylocentrotus purpuratus (Purple sea urchin)	585
LOC752427	A0A7M7FZK2	A0A7M7FZK2_STRPU	unreviewed	Histone H4		Strongylocentrotus purpuratus (Purple sea urchin)	103
LOC115920717	A0A7M7N9B9	A0A7M7N9B9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	126
LOC105441826	A0A7M7P2S2	A0A7M7P2S2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	182
LOC105444549	A0A7M7HM58	A0A7M7HM58_STRPU	unreviewed	Protein kinase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	821
LOC105439745	A0A7M7SV20	A0A7M7SV20_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	102
LOC115922223	A0A7M7P769	A0A7M7P769_STRPU	unreviewed	SET domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	116
LOC589923	A0A7M7HI79	A0A7M7HI79_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2239
LOC589923	A0A7M7HIF8	A0A7M7HIF8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2241
LOC589923	A0A7M7HLH5	A0A7M7HLH5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2268
LOC589923	A0A7M7PH56	A0A7M7PH56_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2203
LOC100891931	A0A7M7GH53	A0A7M7GH53_STRPU	unreviewed	Hexosyltransferase (EC 2.4.1.-)		Strongylocentrotus purpuratus (Purple sea urchin)	368
LOC115919817	A0A7M7N280	A0A7M7N280_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	214
LOC115922264	A0A7M7NHK0	A0A7M7NHK0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	91
LOC115922264	A0A7M7NJI3	A0A7M7NJI3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	111
LOC105440146	A0A7M7LT02	A0A7M7LT02_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	173
LOC105440146	A0A7M7N4D3	A0A7M7N4D3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	155
LOC105440146	A0A7M7N790	A0A7M7N790_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	173
LOC105440146	A0A7M7STW1	A0A7M7STW1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	173
LOC105440146	A0A7M7SU03	A0A7M7SU03_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	155
LOC576526	A0A7M7NTG3	A0A7M7NTG3_STRPU	unreviewed	DUF4485 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	989
LOC576526	A0A7M7NWE3	A0A7M7NWE3_STRPU	unreviewed	DUF4485 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	967
LOC576526	A0A7M7SYC1	A0A7M7SYC1_STRPU	unreviewed	DUF4485 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	960
LOC105437725	A0A7M7HJM4	A0A7M7HJM4_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	404
LOC593847	A0A7M7P988	A0A7M7P988_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	486
LOC100893465	A0A7M7GG63	A0A7M7GG63_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	550
LOC100888988	A0A7M7LP28	A0A7M7LP28_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	190
LOC579441	A0A7M7PFC0	A0A7M7PFC0_STRPU	unreviewed	Glycine N-methyltransferase (EC 2.1.1.20)		Strongylocentrotus purpuratus (Purple sea urchin)	291
LOC579490	A0A7M7PTJ8	A0A7M7PTJ8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1423
LOC579490	A0A7M7PV58	A0A7M7PV58_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1409
LOC100893681	A0A7M7LVR1	A0A7M7LVR1_STRPU	unreviewed	GOLD domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	374
LOC100892439	A0A7M7GI87	A0A7M7GI87_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	370
LOC100893259	A0A7M7N9B6	A0A7M7N9B6_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	246
LOC100893259	A0A7M7N9Z2	A0A7M7N9Z2_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	227
LOC100893259	A0A7M7SV10	A0A7M7SV10_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	235
LOC115922721	A0A7M7NL03	A0A7M7NL03_STRPU	unreviewed	Metalloendopeptidase (EC 3.4.24.-)		Strongylocentrotus purpuratus (Purple sea urchin)	985
LOC582944	A0A7M7PN63	A0A7M7PN63_STRPU	unreviewed	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)		Strongylocentrotus purpuratus (Purple sea urchin)	604
LOC105438311	A0A7M7N177	A0A7M7N177_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1030
LOC763871	A0A7M7G0K2	A0A7M7G0K2_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	433
LOC580880	A0A7M7PVG1	A0A7M7PVG1_STRPU	unreviewed	Bestrophin homolog		Strongylocentrotus purpuratus (Purple sea urchin)	663
LOC100892481	A0A7M7HMH9	A0A7M7HMH9_STRPU	unreviewed	GPS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2368
LOC105441522	A0A7M7NA52	A0A7M7NA52_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	273
LOC105440586	A0A7M7NM71	A0A7M7NM71_STRPU	unreviewed	C1q domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	309
LOC100890949	A0A7M7NPE2	A0A7M7NPE2_STRPU	unreviewed	RFX-type winged-helix domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	756
LOC579722	A0A7M7PU07	A0A7M7PU07_STRPU	unreviewed	T-complex protein 1 subunit delta		Strongylocentrotus purpuratus (Purple sea urchin)	531
LOC585628	A0A7M7NDP6	A0A7M7NDP6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	556
LOC585628	A0A7M7NG66	A0A7M7NG66_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	490
LOC100889819	A0A7M7GGN4	A0A7M7GGN4_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	382
LOC581938	A0A7M7TGT1	A0A7M7TGT1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	548
LOC115922816	A0A7M7NRE8	A0A7M7NRE8_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	320
LOC580751	A0A7M7RBB0	A0A7M7RBB0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1197
LOC100887897	A0A7M7GHS3	A0A7M7GHS3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	144
LOC588391	A0A7M7RH02	A0A7M7RH02_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	627
LOC579679	A0A7M7TGL5	A0A7M7TGL5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	280
LOC100893308	A0A7M7NB80	A0A7M7NB80_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	568
LOC105443132	A0A7M7NTI9	A0A7M7NTI9_STRPU	unreviewed	Nucleoplasmin domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	316
LOC105443132	A0A7M7NTN5	A0A7M7NTN5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	345
LOC105443132	A0A7M7NUX0	A0A7M7NUX0_STRPU	unreviewed	Nucleoplasmin domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	319
LOC105443132	A0A7M7NYU6	A0A7M7NYU6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	372
LOC105443132	A0A7M7SYS7	A0A7M7SYS7_STRPU	unreviewed	Nucleoplasmin domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	346
LOC105443132	A0A7M7SYV0	A0A7M7SYV0_STRPU	unreviewed	Nucleoplasmin domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	343
LOC105441220	A0A7M7PKV5	A0A7M7PKV5_STRPU	unreviewed	EGF-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	413
LOC105447249	A0A7M7LU36	A0A7M7LU36_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	493
LOC105442336	A0A7M7STA3	A0A7M7STA3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	920
LOC763546	A0A7M7G1G6	A0A7M7G1G6_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	339
LOC580948	A0A7M7PJL7	A0A7M7PJL7_STRPU	unreviewed	UBX domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	736
LOC582834	A0A7M7RC89	A0A7M7RC89_STRPU	unreviewed	Protein kinase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	314
LOC582691	A0A7M7TGV3	A0A7M7TGV3_STRPU	unreviewed	Tetraspanin		Strongylocentrotus purpuratus (Purple sea urchin)	247
LOC575693	A0A7M7LLH4	A0A7M7LLH4_STRPU	unreviewed	Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13)		Strongylocentrotus purpuratus (Purple sea urchin)	360
LOC580977	A0A7M7N246	A0A7M7N246_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1648
LOC580977	A0A7M7N401	A0A7M7N401_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1590
LOC579553	A0A7M7SUC4	A0A7M7SUC4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	517
LOC100889763	A0A7M7GKN5	A0A7M7GKN5_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	426
LOC115923306	A0A7M7SY01	A0A7M7SY01_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	213
LOC593498	A0A7M7GGS7	A0A7M7GGS7_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	297
LOC115929561	A0A7M7PQ26	A0A7M7PQ26_STRPU	unreviewed	SET domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1069
LOC115929561	A0A7M7PTB5	A0A7M7PTB5_STRPU	unreviewed	SET domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1206
LOC115929561	A0A7M7PUR0	A0A7M7PUR0_STRPU	unreviewed	SET domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1188
LOC115929561	A0A7M7T587	A0A7M7T587_STRPU	unreviewed	SET domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1164
LOC105441563	A0A7M7ND61	A0A7M7ND61_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	440
LOC753608	A0A7M7G0S4	A0A7M7G0S4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	169
LOC753986	A0A7M7G3G2	A0A7M7G3G2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	203
LOC587050	A0A7M7MXM7	A0A7M7MXM7_STRPU	unreviewed	Endoplasmic reticulum transmembrane protein		Strongylocentrotus purpuratus (Purple sea urchin)	248
LOC581089	A0A7M7RBP2	A0A7M7RBP2_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	375
LOC575572	A0A7M7R9V8	A0A7M7R9V8_STRPU	unreviewed	Homeobox domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	446
LOC755612	A0A7M7G3Y0	A0A7M7G3Y0_STRPU	unreviewed	Peptidase_S8 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	375
LOC115922482	A0A7M7NJ69	A0A7M7NJ69_STRPU	unreviewed	Fucosyltransferase (EC 2.4.1.-)		Strongylocentrotus purpuratus (Purple sea urchin)	240
LOC576141	A0A7M7N2Z7	A0A7M7N2Z7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2519
LOC576141	A0A7M7N344	A0A7M7N344_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2503
LOC576141	A0A7M7N349	A0A7M7N349_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2503
LOC576141	A0A7M7N378	A0A7M7N378_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2503
LOC105443740	A0A7M7HK83	A0A7M7HK83_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	455
LOC115923709	A0A7M7NSK9	A0A7M7NSK9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	414
LOC575747	A0A7M7RC73	A0A7M7RC73_STRPU	unreviewed	O-phosphoseryl-tRNA(Sec) selenium transferase (EC 2.9.1.2) (Selenocysteine synthase) (Selenocysteinyl-tRNA(Sec) synthase) (Sep-tRNA:Sec-tRNA synthase)		Strongylocentrotus purpuratus (Purple sea urchin)	483
LOC100892728	A0A7M7NQ75	A0A7M7NQ75_STRPU	unreviewed	TIR domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	854
LOC105437517	A0A7M7HEI0	A0A7M7HEI0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	103
LOC592970	A0A7M7HM96	A0A7M7HM96_STRPU	unreviewed	SSD domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1011
LOC592970	A0A7M7P9D6	A0A7M7P9D6_STRPU	unreviewed	SSD domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	986
LOC592970	A0A7M7RHN1	A0A7M7RHN1_STRPU	unreviewed	SSD domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1011
LOC579397	A0A7M7NHE7	A0A7M7NHE7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1281
LOC100892324	A0A7M7P7P7	A0A7M7P7P7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	913
LOC587289	A0A7M7PFK3	A0A7M7PFK3_STRPU	unreviewed	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)		Strongylocentrotus purpuratus (Purple sea urchin)	298
LOC578376	A0A7M7PQ01	A0A7M7PQ01_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	630
LOC100893577	A0A7M7PRU4	A0A7M7PRU4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	481
LOC584983	A0A7M7NHT5	A0A7M7NHT5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	220
LOC593500	A0A7M7P9D1	A0A7M7P9D1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	646
