yourlist:M20220607A084FC58F6BBA219896F365D15F2EB444F67D3R	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC115922125	A0A7M7SWD4	A0A7M7SWD4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1390
LOC592853	A0A7M7RH51	A0A7M7RH51_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2514
LOC105437207	A0A7M7N5U3	A0A7M7N5U3_STRPU	unreviewed	Arrestin_C domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	402
LOC105437207	A0A7M7SU72	A0A7M7SU72_STRPU	unreviewed	Arrestin_C domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	404
LOC575572	A0A7M7R9V8	A0A7M7R9V8_STRPU	unreviewed	Homeobox domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	446
LOC105447214	A0A7M7P3R6	A0A7M7P3R6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	139
LOC578342	A0A7M7PFC3	A0A7M7PFC3_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	570
LOC578342	A0A7M7PK68	A0A7M7PK68_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	570
LOC578342	A0A7M7T378	A0A7M7T378_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	570
LOC115923306	A0A7M7SY01	A0A7M7SY01_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	213
LOC582097	A0A7M7N011	A0A7M7N011_STRPU	unreviewed	ZP domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	166
LOC593561	A0A7M7RHF1	A0A7M7RHF1_STRPU	unreviewed	Ascorbate ferrireductase (transmembrane) (EC 7.2.1.3)		Strongylocentrotus purpuratus (Purple sea urchin)	240
LOC105437447	A0A7M7LSK1	A0A7M7LSK1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	253
LOC575747	A0A7M7RC73	A0A7M7RC73_STRPU	unreviewed	O-phosphoseryl-tRNA(Sec) selenium transferase (EC 2.9.1.2) (Selenocysteine synthase) (Selenocysteinyl-tRNA(Sec) synthase) (Sep-tRNA:Sec-tRNA synthase)		Strongylocentrotus purpuratus (Purple sea urchin)	483
LOC105445730	A0A7M7PL06	A0A7M7PL06_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	404
LOC100893206	A0A7M7NF78	A0A7M7NF78_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1333
LOC100888893	A0A7M7MY63	A0A7M7MY63_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	751
LOC105437528	A0A7M7PUP7	A0A7M7PUP7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1362
LOC105437578	A0A7M7PNA7	A0A7M7PNA7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	338
LOC578684	A0A7M7PCA4	A0A7M7PCA4_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	455
LOC105442365	A0A7M7HMC9	A0A7M7HMC9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	409
LOC755391	A0A7M7HIP6	A0A7M7HIP6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	181
LOC755391	A0A7M7HM31	A0A7M7HM31_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	145
LOC100892728	A0A7M7NQ75	A0A7M7NQ75_STRPU	unreviewed	TIR domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	854
LOC582635	A0A7M7P8G9	A0A7M7P8G9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	475
LOC582635	A0A7M7PAT0	A0A7M7PAT0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	439
LOC105442298	A0A7M7PJE8	A0A7M7PJE8_STRPU	unreviewed	TIR domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	272
LOC100891047	A0A7M7PEM5	A0A7M7PEM5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	311
LOC105437272	A0A7M7SZ31	A0A7M7SZ31_STRPU	unreviewed	TIR domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	429
LOC585068	A0A7M7HM66	A0A7M7HM66_STRPU	unreviewed	HDc domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	472
LOC575220	A0A7M7HQN4	A0A7M7HQN4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	527
LOC115928057	A0A7M7PI10	A0A7M7PI10_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	359
LOC100890181	A0A7M7NIW3	A0A7M7NIW3_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	266
LOC115925244	A0A7M7T0G7	A0A7M7T0G7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	566
LOC574964	A0A7M7HKY5	A0A7M7HKY5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1034
LOC115923222	A0A7M7NP88	A0A7M7NP88_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	221
LOC105446063	A0A7M7HQT6	A0A7M7HQT6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	356
LOC586465	A0A7M7SUC0	A0A7M7SUC0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	429
LOC115923708	A0A7M7NRX9	A0A7M7NRX9_STRPU	unreviewed	Endo/exonuclease/phosphatase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	265
LOC115923548	A0A7M7NWD5	A0A7M7NWD5_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	426
LOC100893465	A0A7M7GG63	A0A7M7GG63_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	550
LOC586017	A0A7M7NXE1	A0A7M7NXE1_STRPU	unreviewed	Lipase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	312
LOC755356	A0A7M7N9K2	A0A7M7N9K2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2367
LOC755356	A0A7M7ND40	A0A7M7ND40_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2740
LOC755356	A0A7M7SUZ0	A0A7M7SUZ0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2619
LOC115928905	A0A7M7PNG1	A0A7M7PNG1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	212
LOC575521	A0A7M7GJL1	A0A7M7GJL1_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	386
LOC580451	A0A7M7RD22	A0A7M7RD22_STRPU	unreviewed	Zinc finger Ran-binding domain-containing protein 2		Strongylocentrotus purpuratus (Purple sea urchin)	345
LOC100889019	A0A7M7HQK2	A0A7M7HQK2_STRPU	unreviewed	MADF domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	465
LOC100889019	A0A7M7NYH0	A0A7M7NYH0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	940
LOC105443789	A0A7M7PQS4	A0A7M7PQS4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	212
LOC115923430	A0A7M7NQ26	A0A7M7NQ26_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	315
LOC753610	A0A7M7PQ34	A0A7M7PQ34_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	395
LOC580820	A0A7M7RD71	A0A7M7RD71_STRPU	unreviewed	PHD finger protein 10		Strongylocentrotus purpuratus (Purple sea urchin)	1065
LOC100892294	A0A7M7GG57	A0A7M7GG57_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	179
LOC100893720	A0A7M7LSS2	A0A7M7LSS2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	621
LOC100893720	A0A7M7N5Q6	A0A7M7N5Q6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	592
LOC105439110	A0A7M7PC51	A0A7M7PC51_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	447
LOC100890072	A0A7M7MZK6	A0A7M7MZK6_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	572
LOC100889880	A0A7M7GIN6	A0A7M7GIN6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	278
LOC105439737	A0A7M7N298	A0A7M7N298_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	407
LOC115928829	A0A7M7PMW9	A0A7M7PMW9_STRPU	unreviewed	VWFD domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	187
LOC105445150	A0A7M7PGB0	A0A7M7PGB0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	119
