yourlist:M20220607F248CABF64506F29A91F8037F07B67D14FB3345	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC582118	A0A7M7PI71	A0A7M7PI71_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	550
LOC100892793	A0A7M7PCX1	A0A7M7PCX1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1325
LOC105436621	A0A7M7NP83	A0A7M7NP83_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	338
LOC115928770	A0A7M7PJB2	A0A7M7PJB2_STRPU	unreviewed	Fibronectin type-III domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	216
LOC105439882	A0A7M7N3F9	A0A7M7N3F9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	785
LOC576506	A0A7M7RCH4	A0A7M7RCH4_STRPU	unreviewed	PKS_ER domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	328
LOC100892690	A0A7M7HQ01	A0A7M7HQ01_STRPU	unreviewed	SRCR domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	140
LOC100889119	A0A7M7NGN5	A0A7M7NGN5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	370
LOC100892911	A0A7M7P1B5	A0A7M7P1B5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	868
LOC115923358	A0A7M7NQL5	A0A7M7NQL5_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	235
LOC105438182	A0A7M7T3E0	A0A7M7T3E0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	271
LOC593175	A0A7M7HCL8	A0A7M7HCL8_STRPU	unreviewed	Orange domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	329
LOC593175	A0A7M7RFY8	A0A7M7RFY8_STRPU	unreviewed	Orange domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	401
LOC105447180	A0A7M7NPJ7	A0A7M7NPJ7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	228
LOC763404	A0A7M7MYS6	A0A7M7MYS6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1548
LOC100888678	A0A7M7GGJ9	A0A7M7GGJ9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1087
LOC580809	A0A7M7P6T1	A0A7M7P6T1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	482
LOC582410	A0A7M7SSM3	A0A7M7SSM3_STRPU	unreviewed	ZIP4_domain domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	902
LOC585998	A0A7M7PUT3	A0A7M7PUT3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1314
LOC576828	A0A7M7N7E0	A0A7M7N7E0_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	585
LOC579784	A0A7M7PQ06	A0A7M7PQ06_STRPU	unreviewed	SANTA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1104
LOC579784	A0A7M7PT96	A0A7M7PT96_STRPU	unreviewed	SANTA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1108
LOC579784	A0A7M7T573	A0A7M7T573_STRPU	unreviewed	SANTA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1101
LOC579784	A0A7M7T582	A0A7M7T582_STRPU	unreviewed	SANTA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1107
LOC756360	A0A7M7T271	A0A7M7T271_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	373
LOC592605	A0A7M7NUZ1	A0A7M7NUZ1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3235
LOC592000	A0A7M7T4C2	A0A7M7T4C2_STRPU	unreviewed	Caveolin		Strongylocentrotus purpuratus (Purple sea urchin)	159
LOC576376	A0A7M7P238	A0A7M7P238_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	570
LOC576376	A0A7M7P3W0	A0A7M7P3W0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	613
LOC574669	A0A7M7N9C8	A0A7M7N9C8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1972
LOC574669	A0A7M7N9G2	A0A7M7N9G2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2059
LOC574669	A0A7M7N9I8	A0A7M7N9I8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2042
LOC574669	A0A7M7N9M8	A0A7M7N9M8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2060
LOC574669	A0A7M7N9P1	A0A7M7N9P1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2059
LOC574669	A0A7M7N9Q2	A0A7M7N9Q2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2053
LOC574669	A0A7M7NA05	A0A7M7NA05_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1802
LOC574669	A0A7M7NBH5	A0A7M7NBH5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2059
LOC574669	A0A7M7NBI7	A0A7M7NBI7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1741
LOC574669	A0A7M7NBS1	A0A7M7NBS1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2022
LOC574669	A0A7M7NCT8	A0A7M7NCT8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2010
LOC574669	A0A7M7SUX4	A0A7M7SUX4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2009
LOC574669	A0A7M7SV12	A0A7M7SV12_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1971
LOC752232	A0A7M7P457	A0A7M7P457_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	304
LOC752232	A0A7M7P6B2	A0A7M7P6B2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	287
LOC100891721	A0A7M7LPK9	A0A7M7LPK9_STRPU	unreviewed	SWIM-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	718
LOC105445726	A0A7M7N6M9	A0A7M7N6M9_STRPU	unreviewed	Transporter		Strongylocentrotus purpuratus (Purple sea urchin)	693
LOC105445726	A0A7M7SUB7	A0A7M7SUB7_STRPU	unreviewed	Transporter		Strongylocentrotus purpuratus (Purple sea urchin)	741
LOC590671	A0A7M7N8E0	A0A7M7N8E0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2050
LOC590671	A0A7M7NBG1	A0A7M7NBG1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1934
LOC100891182	A0A7M7GFI5	A0A7M7GFI5_STRPU	unreviewed	PLAC domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1183
LOC115925910	A0A7M7T0Z7	A0A7M7T0Z7_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	340
LOC100892885	A0A7M7GH16	A0A7M7GH16_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	549
LOC100892885	A0A7M7PVW7	A0A7M7PVW7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	488
LOC105440110	A0A7M7HMT8	A0A7M7HMT8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	518
LOC765152	A0A7M7NI76	A0A7M7NI76_STRPU	unreviewed	Sulfotransfer_1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	330
LOC100888693	A0A7M7NDF5	A0A7M7NDF5_STRPU	unreviewed	Protein kinase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	166
LOC100892543	A0A7M7SY31	A0A7M7SY31_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	169
LOC105445068	A0A7M7PF34	A0A7M7PF34_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1941
LOC585401	A0A7M7NZU8	A0A7M7NZU8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	862
LOC592907	A0A7M7MYM6	A0A7M7MYM6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	378
LOC592907	A0A7M7MYT5	A0A7M7MYT5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	375
LOC105438868	A0A7M7PTR9	A0A7M7PTR9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	130
LOC583017	A0A7M7PIL1	A0A7M7PIL1_STRPU	unreviewed	Vitellogenin domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	4598
LOC584353	A0A7M7PM07	A0A7M7PM07_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	545
LOC115920365	A0A7M7N875	A0A7M7N875_STRPU	unreviewed	Sulfotransfer_1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	376
LOC105440996	A0A7M7P3H6	A0A7M7P3H6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	189
LOC115924131	A0A7M7NW22	A0A7M7NW22_STRPU	unreviewed	TIR domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	361
LOC590964	A0A7M7N3W4	A0A7M7N3W4_STRPU	unreviewed	Protein-tyrosine-phosphatase (EC 3.1.3.48)		Strongylocentrotus purpuratus (Purple sea urchin)	4929
LOC578019	A0A7M7PR02	A0A7M7PR02_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	489
LOC757204	A0A7M7NNP4	A0A7M7NNP4_STRPU	unreviewed	Plexin_cytopl domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	799
LOC584482	A0A7M7P073	A0A7M7P073_STRPU	unreviewed	Lipase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	331
LOC584213	A0A7M7P0R7	A0A7M7P0R7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	402
LOC100889329	A0A7M7PPR0	A0A7M7PPR0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	811
LOC100889329	A0A7M7PRE7	A0A7M7PRE7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	812
LOC582414	A0A7M7SWI7	A0A7M7SWI7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2496
LOC105437209	A0A7M7N5I7	A0A7M7N5I7_STRPU	unreviewed	Arrestin_C domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	453
LOC105437209	A0A7M7SU34	A0A7M7SU34_STRPU	unreviewed	Arrestin_C domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	595
LOC115922123	A0A7M7NG59	A0A7M7NG59_STRPU	unreviewed	CCHC-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	572
LOC100893199	A0A7M7NVE3	A0A7M7NVE3_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	536
LOC100888614	A0A7M7P108	A0A7M7P108_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	606
LOC594417	A0A7M7NN59	A0A7M7NN59_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	626
LOC582937	A0A7M7SXI7	A0A7M7SXI7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1820
LOC100890640	A0A7M7GIE4	A0A7M7GIE4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	200
LOC105437574	A0A7M7PGW8	A0A7M7PGW8_STRPU	unreviewed	B box-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	577
LOC105445267	A0A7M7N3M0	A0A7M7N3M0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	788
LOC105443626	A0A7M7SWS2	A0A7M7SWS2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	161
LOC594021	A0A7M7P0H9	A0A7M7P0H9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1120
LOC590852	A0A7M7N9V9	A0A7M7N9V9_STRPU	unreviewed	Tyrosine-protein kinase (EC 2.7.10.2)		Strongylocentrotus purpuratus (Purple sea urchin)	1155
LOC105438490	A0A7M7NUU2	A0A7M7NUU2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	683
LOC578620	A0A7M7PPC2	A0A7M7PPC2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	420
LOC115919267	A0A7M7MYL4	A0A7M7MYL4_STRPU	unreviewed	Sema domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	558
LOC105444833	A0A7M7LWE2	A0A7M7LWE2_STRPU	unreviewed	TIR domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	847
LOC115918170	A0A7M7MYY4	A0A7M7MYY4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2794
LOC581092	A0A7M7NAP8	A0A7M7NAP8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	568
LOC115921327	A0A7M7NEL9	A0A7M7NEL9_STRPU	unreviewed	LRRCT domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	728
LOC100893865	A0A7M7GI04	A0A7M7GI04_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	260
LOC115928489	A0A7M7PME5	A0A7M7PME5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	167
LOC100891352	A0A7M7PM52	A0A7M7PM52_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	649
LOC579946	A0A7M7GI71	A0A7M7GI71_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2124
LOC579946	A0A7M7RB10	A0A7M7RB10_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2121
LOC105437120	A0A7M7PPA2	A0A7M7PPA2_STRPU	unreviewed	ZP domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	284
LOC764348	A0A7M7SWT3	A0A7M7SWT3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1457
LOC115920849	A0A7M7SV28	A0A7M7SV28_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	108
LOC105440151	A0A7M7SU54	A0A7M7SU54_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	804
LOC100890051	A0A7M7NE74	A0A7M7NE74_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	276
LOC105439455	A0A7M7N6L2	A0A7M7N6L2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	525
LOC105446843	A0A7M7P1I5	A0A7M7P1I5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	485
LOC105446843	A0A7M7P1V8	A0A7M7P1V8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	508
LOC105446843	A0A7M7P2N9	A0A7M7P2N9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	446
LOC105446843	A0A7M7P3M4	A0A7M7P3M4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	525
LOC105446843	A0A7M7P485	A0A7M7P485_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	485
LOC105446843	A0A7M7T0J8	A0A7M7T0J8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	545
LOC100891703	A0A7M7NWY7	A0A7M7NWY7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	686
LOC100891631	A0A7M7GFD5	A0A7M7GFD5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	735
LOC588375	A0A7M7LTT4	A0A7M7LTT4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	471
LOC590570	A0A7M7NXL3	A0A7M7NXL3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	586
LOC764724	A0A7M7PFM8	A0A7M7PFM8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	229
LOC105445730	A0A7M7PL06	A0A7M7PL06_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	404
LOC588117	A0A7M7SWG9	A0A7M7SWG9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	603
LOC578564	A0A7M7PC01	A0A7M7PC01_STRPU	unreviewed	Kinesin motor domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2270
LOC578564	A0A7M7PD31	A0A7M7PD31_STRPU	unreviewed	Kinesin motor domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1641
LOC578564	A0A7M7PD40	A0A7M7PD40_STRPU	unreviewed	Kinesin motor domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2264
LOC578564	A0A7M7PDB6	A0A7M7PDB6_STRPU	unreviewed	Kinesin motor domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2271
LOC578564	A0A7M7PEE7	A0A7M7PEE7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1668
LOC578564	A0A7M7PF67	A0A7M7PF67_STRPU	unreviewed	Kinesin motor domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2260
LOC578564	A0A7M7PFB1	A0A7M7PFB1_STRPU	unreviewed	Kinesin motor domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1630
LOC578564	A0A7M7PHL1	A0A7M7PHL1_STRPU	unreviewed	Kinesin motor domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2246
LOC578564	A0A7M7T2N2	A0A7M7T2N2_STRPU	unreviewed	Kinesin motor domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2234
LOC578564	A0A7M7T2P6	A0A7M7T2P6_STRPU	unreviewed	Kinesin motor domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1719
LOC105442401	A0A7M7PDS1	A0A7M7PDS1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3089
LOC105437578	A0A7M7PNA7	A0A7M7PNA7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	338
LOC583055	A0A7M7RFM2	A0A7M7RFM2_STRPU	unreviewed	Sulfotransferase 1B1 (EC 2.8.2.1) (Sulfotransferase family cytosolic 1B member 1)		Strongylocentrotus purpuratus (Purple sea urchin)	306
LOC577139	A0A7M7HNX2	A0A7M7HNX2_STRPU	unreviewed	Peptidase_S8 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	371
LOC115929295	A0A7M7T4T3	A0A7M7T4T3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	207
LOC105437272	A0A7M7SZ31	A0A7M7SZ31_STRPU	unreviewed	TIR domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	429
LOC577593	A0A7M7P572	A0A7M7P572_STRPU	unreviewed	Peroxisomal membrane protein PEX16		Strongylocentrotus purpuratus (Purple sea urchin)	375
LOC115920552	A0A7M7N789	A0A7M7N789_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	206
LOC591727	A0A7M7P8J3	A0A7M7P8J3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	280
LOC115923222	A0A7M7NP88	A0A7M7NP88_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	221
LOC588460	A0A7M7TGZ3	A0A7M7TGZ3_STRPU	unreviewed	Tetrahydrofolate synthase (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)		Strongylocentrotus purpuratus (Purple sea urchin)	561
LOC100892133	A0A7M7P9X8	A0A7M7P9X8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	538
LOC592223	A0A7M7T4U3	A0A7M7T4U3_STRPU	unreviewed	Dimethylaniline monooxygenase [N-oxide-forming] (EC 1.14.13.8)		Strongylocentrotus purpuratus (Purple sea urchin)	522
LOC100888215	A0A7M7NA54	A0A7M7NA54_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1137
LOC100891038	A0A7M7NMR4	A0A7M7NMR4_STRPU	unreviewed	Peptidylprolyl isomerase (EC 5.2.1.8)		Strongylocentrotus purpuratus (Purple sea urchin)	108
LOC100889613	A0A7M7SU96	A0A7M7SU96_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	496
LOC580556	A0A7M7N0H1	A0A7M7N0H1_STRPU	unreviewed	ETS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	636
LOC580556	A0A7M7RBI6	A0A7M7RBI6_STRPU	unreviewed	ETS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	635
LOC586432	A0A7M7N3M3	A0A7M7N3M3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3846
LOC586432	A0A7M7STQ5	A0A7M7STQ5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3864
LOC115920331	A0A7M7N6B4	A0A7M7N6B4_STRPU	unreviewed	Methyltransf_25 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	159
LOC100889307	A0A7M7PL17	A0A7M7PL17_STRPU	unreviewed	Importin-13		Strongylocentrotus purpuratus (Purple sea urchin)	977
LOC100889307	A0A7M7PMX9	A0A7M7PMX9_STRPU	unreviewed	Importin-13		Strongylocentrotus purpuratus (Purple sea urchin)	960
LOC100891353	A0A0K0VHE4	A0A0K0VHE4_STRPU	unreviewed	Admp2		Strongylocentrotus purpuratus (Purple sea urchin)	523
LOC581084	A0A7M7HG85	A0A7M7HG85_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	701
LOC581084	A0A7M7HGA8	A0A7M7HGA8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	645
LOC115923430	A0A7M7NQ26	A0A7M7NQ26_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	315
LOC590007	A0A7M7N314	A0A7M7N314_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	24046
LOC115918368	A0A7M7N4X4	A0A7M7N4X4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	518
LOC115918368	A0A7M7N5K8	A0A7M7N5K8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	432
LOC115918368	A0A7M7SU38	A0A7M7SU38_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	518
LOC579173	A0A7M7GFE4	A0A7M7GFE4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	651
LOC579173	A0A7M7GFT0	A0A7M7GFT0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	684
LOC579173	A0A7M7HJE1	A0A7M7HJE1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	713
LOC579173	A0A7M7TGD0	A0A7M7TGD0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	681
