#feat_name,source_int,mapped_int,source_id,mapped_id,source_length,mapped_length,source_start,source_stop,source_strand,source_sub_start,source_sub_stop,mapped_start,mapped_stop,mapped_strand,coverage,recip,asm_unit
Line:14,1,NULL,NW_022145594,NULL,1,NULL,9183918,9183918,+,NOMAP,ALIGNGAP,,,,,,
Line:15,1,1,NW_022145594,NW_003578073.1,1,1,9773503,9773503,+,9773503,9773503,102287,102287,+,1,First Pass,Primary Assembly
Line:16,1,1,NW_022145594,NW_003585277.1,1,1,12165389,12165389,+,12165389,12165389,9096,9096,+,1,First Pass,Primary Assembly
Line:16,1,2,NW_022145594,NW_003577759.1,1,1,12165389,12165389,+,12165389,12165389,77638,77638,+,1,Second Pass,Primary Assembly
Line:17,1,1,NW_022145594,NW_003577759.1,1,1,12189223,12189223,+,12189223,12189223,16646,16646,+,1,First Pass,Primary Assembly
Line:18,1,1,NW_022145594,NW_003577759.1,1,1,12220287,12220287,+,12220287,12220287,165430,165430,+,1,First Pass,Primary Assembly
Line:19,1,1,NW_022145594,NW_003578026.1,1,1,32237325,32237325,+,32237325,32237325,189918,189918,+,1,First Pass,Primary Assembly
Line:20,1,1,NW_022145594,NW_003577798.1,1,1,44586972,44586972,+,44586972,44586972,297236,297236,-,1,First Pass,Primary Assembly
Line:21,1,1,NW_022145594,NW_003578716.1,1,1,51570773,51570773,+,51570773,51570773,50076,50076,+,1,First Pass,Primary Assembly
Line:22,1,1,NW_022145595,NW_003578133.1,1,1,384717,384717,+,384717,384717,27368,27368,-,1,First Pass,Primary Assembly
Line:23,1,1,NW_022145595,NW_003577700.1,1,1,1463574,1463574,+,1463574,1463574,63693,63693,-,1,First Pass,Primary Assembly
Line:24,1,1,NW_022145595,NW_003577022.1,1,1,1738460,1738460,+,1738460,1738460,537163,537163,-,1,First Pass,Primary Assembly
Line:25,1,1,NW_022145595,NW_003577022.1,1,1,1752060,1752060,+,1752060,1752060,520577,520577,-,1,First Pass,Primary Assembly
Line:26,1,1,NW_022145595,NW_003577022.1,1,1,1827862,1827862,+,1827862,1827862,443517,443517,-,1,First Pass,Primary Assembly
Line:27,1,1,NW_022145595,NW_003577022.1,1,1,2033721,2033721,+,2033721,2033721,261286,261286,-,1,First Pass,Primary Assembly
Line:28,1,1,NW_022145595,NW_003577063.1,1,1,3119824,3119824,+,3119824,3119824,308807,308807,-,1,First Pass,Primary Assembly
Line:29,1,1,NW_022145595,NW_003577125.1,1,1,5746602,5746602,+,5746602,5746602,578665,578665,-,1,First Pass,Primary Assembly
Line:30,1,1,NW_022145595,NW_003577708.1,1,1,5939765,5939765,+,5939765,5939765,304288,304288,-,1,First Pass,Primary Assembly
Line:31,1,1,NW_022145595,NW_003576982.1,1,1,9180714,9180714,+,9180714,9180714,916644,916644,-,1,First Pass,Primary Assembly
Line:32,1,1,NW_022145595,NW_003576982.1,1,1,9181378,9181378,+,9181378,9181378,915980,915980,-,1,First Pass,Primary Assembly
Line:33,1,1,NW_022145595,NW_003581661.1,1,1,11843823,11843823,+,11843823,11843823,20279,20279,+,1,First Pass,Primary Assembly
Line:34,1,1,NW_022145595,NW_003579494.1,1,1,12982866,12982866,+,12982866,12982866,17388,17388,-,1,First Pass,Primary Assembly
Line:35,1,1,NW_022145595,NW_003578991.1,1,1,13103294,13103294,+,13103294,13103294,76289,76289,+,1,First Pass,Primary Assembly
Line:36,1,1,NW_022145595,NW_003577064.1,1,1,14110316,14110316,+,14110316,14110316,81756,81756,-,1,First Pass,Primary Assembly
Line:37,1,1,NW_022145595,NW_003577064.1,1,1,14111169,14111169,+,14111169,14111169,80903,80903,-,1,First Pass,Primary Assembly
Line:38,1,1,NW_022145595,NW_003580616.1,1,1,15495616,15495616,+,15495616,15495616,37879,37879,+,1,Second Pass,Primary Assembly
Line:38,1,2,NW_022145595,NW_003577220.1,1,1,15495616,15495616,+,15495616,15495616,320505,320505,+,1,First Pass,Primary Assembly
Line:39,1,1,NW_022145595,NW_003577220.1,1,1,15513516,15513516,+,15513516,15513516,357145,357145,+,1,First Pass,Primary Assembly
Line:40,1,1,NW_022145595,NW_003577886.1,1,1,15569408,15569408,+,15569408,15569408,149824,149824,-,1,First Pass,Primary Assembly
Line:41,1,NULL,NW_022145595,NULL,1,NULL,15610461,15610461,+,NOMAP,ALIGNGAP,,,,,,
Line:42,1,1,NW_022145595,NW_003577886.1,1,1,15612338,15612338,+,15612338,15612338,106549,106549,-,1,First Pass,Primary Assembly
Line:43,1,1,NW_022145595,NW_003577886.1,1,1,15623798,15623798,+,15623798,15623798,95528,95528,-,1,First Pass,Primary Assembly
Line:44,1,1,NW_022145595,NW_003577098.1,1,1,16482243,16482243,+,16482243,16482243,87571,87571,+,1,First Pass,Primary Assembly
Line:45,1,1,NW_022145595,NW_003577477.1,1,1,17282024,17282024,+,17282024,17282024,258055,258055,-,1,First Pass,Primary Assembly
Line:46,1,1,NW_022145595,NW_003594354.1,1,1,17347604,17347604,+,17347604,17347604,3549,3549,+,1,First Pass,Primary Assembly
Line:46,1,2,NW_022145595,NW_003581932.1,1,1,17347604,17347604,+,17347604,17347604,66416,66416,-,1,Second Pass,Primary Assembly
Line:47,1,1,NW_022145595,NW_003577477.1,1,1,18082591,18082591,+,18082591,18082591,66368,66368,-,1,First Pass,Primary Assembly
Line:48,1,1,NW_022145595,NW_003579198.1,1,1,19210121,19210121,+,19210121,19210121,76739,76739,-,1,First Pass,Primary Assembly
Line:49,1,1,NW_022145595,NW_003577743.1,1,1,22659163,22659163,+,22659163,22659163,27072,27072,+,1,First Pass,Primary Assembly
Line:50,1,NULL,NW_022145595,NULL,1,NULL,22940500,22940500,+,NOMAP,ALIGNGAP,,,,,,
Line:51,1,1,NW_022145595,NW_003577234.1,1,1,25496394,25496394,+,25496394,25496394,357462,357462,+,1,First Pass,Primary Assembly
Line:52,1,1,NW_022145595,NW_003578283.1,1,1,26308878,26308878,+,26308878,26308878,12724,12724,+,1,First Pass,Primary Assembly
Line:53,1,1,NW_022145595,NW_003577195.1,1,1,26984606,26984606,+,26984606,26984606,163283,163283,-,1,First Pass,Primary Assembly
Line:54,1,1,NW_022145595,NW_003577470.1,1,1,27501516,27501516,+,27501516,27501516,317618,317618,+,1,First Pass,Primary Assembly
Line:55,1,1,NW_022145595,NW_003577470.1,1,1,27529431,27529431,+,27529431,27529431,342725,342725,+,1,First Pass,Primary Assembly
Line:56,1,1,NW_022145595,NW_003577055.1,1,1,29529998,29529998,+,29529998,29529998,133476,133476,+,1,First Pass,Primary Assembly
Line:57,1,1,NW_022145595,NW_003577055.1,1,1,29530211,29530211,+,29530211,29530211,133690,133690,+,1,First Pass,Primary Assembly
Line:58,1,1,NW_022145595,NW_003577055.1,1,1,29530776,29530776,+,29530776,29530776,134255,134255,+,1,First Pass,Primary Assembly
Line:59,1,1,NW_022145595,NW_003577055.1,1,1,29530826,29530826,+,29530826,29530826,134305,134305,+,1,First Pass,Primary Assembly
Line:60,1,1,NW_022145595,NW_003579052.1,1,1,29952006,29952006,+,29952006,29952006,56813,56813,-,1,First Pass,Primary Assembly
Line:61,1,1,NW_022145596,NW_003578078.1,1,1,41302,41302,+,41302,41302,15461,15461,+,1,First Pass,Primary Assembly
Line:62,1,1,NW_022145596,NW_003577255.1,1,1,330178,330178,+,330178,330178,347073,347073,-,1,First Pass,Primary Assembly
Line:63,1,1,NW_022145596,NW_003576999.1,1,1,1390216,1390216,+,1390216,1390216,663134,663134,-,1,First Pass,Primary Assembly
Line:64,1,1,NW_022145596,NW_003576964.1,1,1,7472805,7472805,+,7472805,7472805,1119909,1119909,+,1,Second Pass,Primary Assembly
Line:65,1,1,NW_022145596,NW_003579598.1,1,1,8523851,8523851,+,8523851,8523851,178367,178367,+,1,First Pass,Primary Assembly
Line:66,1,1,NW_022145596,NW_003579598.1,1,1,8647923,8647923,+,8647923,8647923,301405,301405,+,1,First Pass,Primary Assembly
Line:67,1,1,NW_022145596,NW_003577204.1,1,1,9313893,9313893,+,9313893,9313893,858934,858934,+,1,First Pass,Primary Assembly
Line:68,1,1,NW_022145596,NW_003577092.1,1,1,11133756,11133756,+,11133756,11133756,291315,291315,-,1,First Pass,Primary Assembly
Line:69,1,1,NW_022145596,NW_003577092.1,1,1,11136257,11136257,+,11136257,11136257,288999,288999,-,1,First Pass,Primary Assembly
Line:70,1,1,NW_022145596,NW_003577092.1,1,1,11173954,11173954,+,11173954,11173954,253100,253100,-,1,First Pass,Primary Assembly
Line:71,1,1,NW_022145596,NW_003577092.1,1,1,11179650,11179650,+,11179650,11179650,247410,247410,-,1,First Pass,Primary Assembly
Line:72,1,1,NW_022145596,NW_003577092.1,1,1,11179788,11179788,+,11179788,11179788,247271,247271,-,1,First Pass,Primary Assembly
Line:73,1,1,NW_022145596,NW_003577092.1,1,1,11179796,11179796,+,11179796,11179796,247263,247263,-,1,First Pass,Primary Assembly
Line:74,1,1,NW_022145596,NW_003577092.1,1,1,11179901,11179901,+,11179901,11179901,247158,247158,-,1,First Pass,Primary Assembly
Line:75,1,1,NW_022145596,NW_003577092.1,1,1,11180102,11180102,+,11180102,11180102,246957,246957,-,1,First Pass,Primary Assembly
Line:76,1,1,NW_022145596,NW_003577092.1,1,1,11246475,11246475,+,11246475,11246475,183026,183026,-,1,First Pass,Primary Assembly
Line:77,1,1,NW_022145596,NW_003577092.1,1,1,11279573,11279573,+,11279573,11279573,145988,145988,-,1,First Pass,Primary Assembly
Line:78,1,1,NW_022145596,NW_003579651.1,1,1,11509240,11509240,+,11509240,11509240,10135,10135,-,1,First Pass,Primary Assembly
Line:79,1,1,NW_022145596,NW_003578131.1,1,1,11578095,11578095,+,11578095,11578095,38566,38566,+,1,First Pass,Primary Assembly
Line:80,1,1,NW_022145596,NW_003577083.1,1,1,12342634,12342634,+,12342634,12342634,232527,232527,+,1,First Pass,Primary Assembly
Line:81,1,1,NW_022145596,NW_003578601.1,1,1,14455947,14455947,+,14455947,14455947,280890,280890,-,1,First Pass,Primary Assembly
Line:82,1,1,NW_022145596,NW_003578601.1,1,1,14468593,14468593,+,14468593,14468593,267218,267218,-,1,First Pass,Primary Assembly
Line:83,1,1,NW_022145596,NW_003578601.1,1,1,14519321,14519321,+,14519321,14519321,219933,219933,-,1,First Pass,Primary Assembly
Line:84,1,1,NW_022145596,NW_003578152.1,1,1,16507584,16507584,+,16507584,16507584,217488,217488,-,1,First Pass,Primary Assembly
Line:85,1,1,NW_022145596,NW_003577526.1,1,1,17540784,17540784,+,17540784,17540784,624184,624184,+,1,First Pass,Primary Assembly
Line:86,1,1,NW_022145596,NW_003577088.1,1,1,17805346,17805346,+,17805346,17805346,25852,25852,+,1,First Pass,Primary Assembly
Line:87,1,1,NW_022145596,NW_003577088.1,1,1,17843243,17843243,+,17843243,17843243,102888,102888,+,1,First Pass,Primary Assembly
Line:88,1,1,NW_022145596,NW_003577088.1,1,1,17908965,17908965,+,17908965,17908965,168509,168509,+,1,First Pass,Primary Assembly
Line:89,1,1,NW_022145596,NW_003577136.1,1,1,18230621,18230621,+,18230621,18230621,888808,888808,+,1,First Pass,Primary Assembly
Line:90,1,1,NW_022145596,NW_003577136.1,1,1,18254675,18254675,+,18254675,18254675,915221,915221,+,1,First Pass,Primary Assembly
Line:91,1,1,NW_022145596,NW_003577136.1,1,1,18672054,18672054,+,18672054,18672054,513715,513715,-,1,First Pass,Primary Assembly
Line:92,1,1,NW_022145596,NW_003576968.1,1,1,18878211,18878211,+,18878211,18878211,241094,241094,+,1,First Pass,Primary Assembly
Line:93,1,1,NW_022145596,NW_003577228.1,1,1,19395744,19395744,+,19395744,19395744,486289,486289,+,1,First Pass,Primary Assembly
Line:93,1,2,NW_022145596,NW_003576968.1,1,1,19395744,19395744,+,19395744,19395744,683837,683837,+,1,Second Pass,Primary Assembly
Line:94,1,1,NW_022145596,NW_003579738.1,1,1,24188651,24188651,+,24188651,24188651,22484,22484,+,1,First Pass,Primary Assembly
Line:95,1,NULL,NW_022145596,NULL,1,NULL,24189085,24189085,+,NOMAP,ALIGNGAP,,,,,,
Line:96,1,1,NW_022145596,NW_003577511.1,1,1,24328334,24328334,+,24328334,24328334,393818,393818,+,1,First Pass,Primary Assembly
Line:97,1,1,NW_022145596,NW_003577511.1,1,1,24339297,24339297,+,24339297,24339297,404817,404817,+,1,First Pass,Primary Assembly
Line:98,1,1,NW_022145596,NW_003577011.1,1,1,25240598,25240598,+,25240598,25240598,493403,493403,+,1,First Pass,Primary Assembly
Line:99,1,1,NW_022145596,NW_003577011.1,1,1,25380474,25380474,+,25380474,25380474,627591,627591,+,1,First Pass,Primary Assembly
Line:100,1,1,NW_022145596,NW_003577011.1,1,1,25389448,25389448,+,25389448,25389448,636210,636210,+,1,First Pass,Primary Assembly
Line:101,1,1,NW_022145596,NW_003577011.1,1,1,25389479,25389479,+,25389479,25389479,636241,636241,+,1,First Pass,Primary Assembly
Line:102,1,1,NW_022145596,NW_003576980.1,1,1,26192482,26192482,+,26192482,26192482,954085,954085,-,1,First Pass,Primary Assembly
Line:103,1,1,NW_022145596,NW_003577596.1,1,1,27287032,27287032,+,27287032,27287032,104230,104230,-,1,First Pass,Primary Assembly
Line:104,1,1,NW_022145596,NW_003576991.1,1,1,27597136,27597136,+,27597136,27597136,682665,682665,+,1,First Pass,Primary Assembly
Line:105,1,1,NW_022145596,NW_003577273.1,1,1,28548227,28548227,+,28548227,28548227,373575,373575,-,1,First Pass,Primary Assembly
Line:106,1,1,NW_022145596,NW_003577273.1,1,1,28669293,28669293,+,28669293,28669293,236476,236476,-,1,First Pass,Primary Assembly
Line:107,1,1,NW_022145596,NW_003577624.1,1,1,30499608,30499608,+,30499608,30499608,318134,318134,+,1,First Pass,Primary Assembly
Line:108,1,1,NW_022145596,NW_003578565.1,1,1,31542904,31542904,+,31542904,31542904,11727,11727,-,1,First Pass,Primary Assembly
Line:109,1,1,NW_022145596,NW_003580004.1,1,1,32924680,32924680,+,32924680,32924680,45827,45827,+,1,First Pass,Primary Assembly
Line:110,1,1,NW_022145596,NW_003580004.1,1,1,32952937,32952937,+,32952937,32952937,73848,73848,+,1,Second Pass,Primary Assembly
Line:110,1,2,NW_022145596,NW_003580004.1,1,1,32952937,32952937,+,32952937,32952937,93912,93912,+,1,First Pass,Primary Assembly
Line:111,1,1,NW_022145597,NW_003578979.1,1,1,291057,291057,+,291057,291057,41154,41154,-,1,First Pass,Primary Assembly
Line:112,1,1,NW_022145597,NW_003577029.1,1,1,368661,368661,+,368661,368661,42985,42985,+,1,First Pass,Primary Assembly
Line:113,1,1,NW_022145597,NW_003577415.1,1,1,763345,763345,+,763345,763345,221516,221516,-,1,First Pass,Primary Assembly
Line:114,1,1,NW_022145597,NW_003577093.1,1,1,1518210,1518210,+,1518210,1518210,872920,872920,-,1,First Pass,Primary Assembly
Line:115,1,1,NW_022145597,NW_003577008.1,1,1,2726447,2726447,+,2726447,2726447,345903,345903,-,1,First Pass,Primary Assembly
Line:116,1,1,NW_022145597,NW_003577043.1,1,1,3890101,3890101,+,3890101,3890101,390703,390703,+,1,First Pass,Primary Assembly
Line:117,1,1,NW_022145597,NW_003577043.1,1,1,3931075,3931075,+,3931075,3931075,433318,433318,+,1,First Pass,Primary Assembly
Line:118,1,1,NW_022145597,NW_003581134.1,1,1,5539162,5539162,+,5539162,5539162,5997,5997,+,1,First Pass,Primary Assembly
Line:119,1,NULL,NW_022145597,NULL,1,NULL,5567035,5567035,+,NOMAP,ALIGNGAP,,,,,,
Line:120,1,1,NW_022145597,NW_003577478.1,1,1,13268464,13268464,+,13268464,13268464,275630,275630,+,1,First Pass,Primary Assembly
Line:121,1,1,NW_022145597,NW_003577101.1,1,1,16849319,16849319,+,16849319,16849319,703295,703295,+,1,First Pass,Primary Assembly
Line:122,1,1,NW_022145597,NW_003578319.1,1,1,22084789,22084789,+,22084789,22084789,114145,114145,+,1,First Pass,Primary Assembly
Line:123,1,1,NW_022145597,NW_003583963.1,1,1,22237242,22237242,+,22237242,22237242,12506,12506,+,1,Second Pass,Primary Assembly
Line:123,1,2,NW_022145597,NW_003578319.1,1,1,22237242,22237242,+,22237242,22237242,271874,271874,+,1,First Pass,Primary Assembly
Line:124,1,1,NW_022145597,NW_003578319.1,1,1,22245964,22245964,+,22245964,22245964,280595,280595,+,1,First Pass,Primary Assembly
Line:125,1,1,NW_022145597,NW_003576986.1,1,1,22458611,22458611,+,22458611,22458611,1479329,1479329,-,1,First Pass,Primary Assembly
Line:126,1,1,NW_022145597,NW_003577381.1,1,1,22547551,22547551,+,22547551,22547551,89677,89677,-,1,Second Pass,Primary Assembly
Line:126,1,2,NW_022145597,NW_003576986.1,1,1,22547551,22547551,+,22547551,22547551,935598,935598,+,1,First Pass,Primary Assembly
Line:127,1,1,NW_022145597,NW_003577002.1,1,1,23312379,23312379,+,23312379,23312379,446489,446489,-,1,First Pass,Primary Assembly
Line:128,1,1,NW_022145597,NW_003577013.1,1,1,24616331,24616331,+,24616331,24616331,530133,530133,-,1,First Pass,Primary Assembly
Line:129,1,1,NW_022145597,NW_003577013.1,1,1,24763151,24763151,+,24763151,24763151,369578,369578,-,1,First Pass,Primary Assembly
Line:130,1,1,NW_022145597,NW_003577013.1,1,1,24765328,24765328,+,24765328,24765328,367421,367421,-,1,First Pass,Primary Assembly
Line:131,1,1,NW_022145597,NW_003577013.1,1,1,24982174,24982174,+,24982174,24982174,119325,119325,-,1,First Pass,Primary Assembly
Line:132,1,1,NW_022145597,NW_003577013.1,1,1,24982828,24982828,+,24982828,24982828,118671,118671,-,1,First Pass,Primary Assembly
Line:133,1,1,NW_022145597,NW_003577013.1,1,1,25014596,25014596,+,25014596,25014596,87144,87144,-,1,First Pass,Primary Assembly
Line:134,1,1,NW_022145597,NW_003577132.1,1,1,25229467,25229467,+,25229467,25229467,500236,500236,-,1,First Pass,Primary Assembly
Line:135,1,1,NW_022145597,NW_003577055.1,1,1,25940220,25940220,+,25940220,25940220,510607,510607,-,1,First Pass,Primary Assembly
Line:136,1,1,NW_022145597,NW_003577055.1,1,1,25943109,25943109,+,25943109,25943109,507621,507621,-,1,First Pass,Primary Assembly
Line:137,1,1,NW_022145597,NW_003580168.1,1,1,26879453,26879453,+,26879453,26879453,3725,3725,-,1,First Pass,Primary Assembly
Line:137,1,2,NW_022145597,NW_003579378.1,1,1,26879453,26879453,+,26879453,26879453,4995,4995,-,1,Second Pass,Primary Assembly
Line:138,1,1,NW_022145597,NW_003578551.1,1,1,28192823,28192823,+,28192823,28192823,18602,18602,+,1,First Pass,Primary Assembly
Line:139,1,NULL,NW_022145597,NULL,1,NULL,31863531,31863531,+,NOMAP,ALIGNGAP,,,,,,
Line:140,1,1,NW_022145597,NW_003577152.1,1,1,33617220,33617220,+,33617220,33617220,370878,370878,+,1,First Pass,Primary Assembly
Line:141,1,1,NW_022145597,NW_003577152.1,1,1,33618520,33618520,+,33618520,33618520,372134,372134,+,1,First Pass,Primary Assembly
Line:142,1,1,NW_022145597,NW_003577880.1,1,1,33925260,33925260,+,33925260,33925260,86540,86540,-,1,First Pass,Primary Assembly
Line:143,1,1,NW_022145597,NW_003577880.1,1,1,33934373,33934373,+,33934373,33934373,77331,77331,-,1,First Pass,Primary Assembly
Line:144,1,1,NW_022145597,NW_003577880.1,1,1,33945662,33945662,+,33945662,33945662,75251,75251,-,1,First Pass,Primary Assembly
Line:145,1,1,NW_022145598,NW_003577045.1,1,1,667935,667935,+,667935,667935,874171,874171,+,1,First Pass,Primary Assembly
Line:146,1,1,NW_022145598,NW_003578139.1,1,1,729214,729214,+,729214,729214,298453,298453,-,1,First Pass,Primary Assembly
Line:147,1,1,NW_022145598,NW_003577677.1,1,1,1271908,1271908,+,1271908,1271908,131110,131110,+,1,First Pass,Primary Assembly
Line:148,1,1,NW_022145598,NW_003577677.1,1,1,1274647,1274647,+,1274647,1274647,133644,133644,+,1,First Pass,Primary Assembly
Line:149,1,1,NW_022145598,NW_003577214.1,1,1,2247322,2247322,+,2247322,2247322,134856,134856,+,1,First Pass,Primary Assembly
Line:150,1,1,NW_022145598,NW_003577281.1,1,1,2827008,2827008,+,2827008,2827008,201411,201411,-,1,First Pass,Primary Assembly
Line:151,1,1,NW_022145598,NW_003577281.1,1,1,2853388,2853388,+,2853388,2853388,170574,170574,-,1,First Pass,Primary Assembly
Line:152,1,NULL,NW_022145598,NULL,1,NULL,4981644,4981644,+,NOMAP,ALIGNGAP,,,,,,
Line:153,1,1,NW_022145598,NW_003578597.1,1,1,5765450,5765450,+,5765450,5765450,105813,105813,+,1,First Pass,Primary Assembly
Line:154,1,1,NW_022145598,NW_003578597.1,1,1,5777377,5777377,+,5777377,5777377,116033,116033,+,1,First Pass,Primary Assembly
Line:155,1,1,NW_022145598,NW_003577246.1,1,1,11084069,11084069,+,11084069,11084069,161145,161145,-,1,First Pass,Primary Assembly
Line:156,1,1,NW_022145598,NW_003577246.1,1,1,11095717,11095717,+,11095717,11095717,150343,150343,-,1,First Pass,Primary Assembly
Line:157,1,1,NW_022145598,NW_003577259.1,1,1,11988871,11988871,+,11988871,11988871,586894,586894,+,1,First Pass,Primary Assembly
Line:158,1,1,NW_022145598,NW_003577600.1,1,1,14355686,14355686,+,14355686,14355686,134889,134889,-,1,First Pass,Primary Assembly
Line:159,1,1,NW_022145598,NW_003578557.1,1,1,20046796,20046796,+,20046796,20046796,246121,246121,-,1,First Pass,Primary Assembly
Line:160,1,1,NW_022145598,NW_003578984.1,1,1,20211223,20211223,+,20211223,20211223,7923,7923,-,1,First Pass,Primary Assembly
Line:161,1,NULL,NW_022145598,NULL,1,NULL,20219373,20219373,+,NOMAP,ALIGNGAP,,,,,,
Line:162,1,1,NW_022145598,NW_003578604.1,1,1,21884889,21884889,+,21884889,21884889,23871,23871,+,1,First Pass,Primary Assembly
Line:163,1,1,NW_022145598,NW_003577031.1,1,1,23914483,23914483,+,23914483,23914483,416011,416011,-,1,First Pass,Primary Assembly
Line:164,1,1,NW_022145598,NW_003578286.1,1,1,26968634,26968634,+,26968634,26968634,57305,57305,-,1,First Pass,Primary Assembly
Line:165,1,1,NW_022145598,NW_003577140.1,1,1,27137570,27137570,+,27137570,27137570,550993,550993,-,1,First Pass,Primary Assembly
Line:166,1,1,NW_022145598,NW_003577140.1,1,1,27156554,27156554,+,27156554,27156554,534238,534238,-,1,First Pass,Primary Assembly
Line:167,1,1,NW_022145598,NW_003578740.1,1,1,28348227,28348227,+,28348227,28348227,58654,58654,-,1,First Pass,Primary Assembly
Line:167,1,2,NW_022145598,NW_003577440.1,1,1,28348227,28348227,+,28348227,28348227,363555,363555,+,1,Second Pass,Primary Assembly
Line:168,1,1,NW_022145598,NW_003578092.1,1,1,29561875,29561875,+,29561875,29561875,229820,229820,+,1,Second Pass,Primary Assembly
Line:169,1,1,NW_022145598,NW_003581231.1,1,1,31794378,31794378,+,31794378,31794378,7094,7094,-,1,Second Pass,Primary Assembly
Line:170,1,1,NW_022145598,NW_003577357.1,1,1,35281793,35281793,+,35281793,35281793,76878,76878,+,1,First Pass,Primary Assembly
Line:171,1,1,NW_022145598,NW_003578088.1,1,1,36054097,36054097,+,36054097,36054097,109121,109121,+,1,First Pass,Primary Assembly
Line:172,1,1,NW_022145598,NW_003578088.1,1,1,36059423,36059423,+,36059423,36059423,112432,112432,+,1,First Pass,Primary Assembly
Line:173,1,1,NW_022145599,NW_003577388.1,1,1,1515408,1515408,+,1515408,1515408,286693,286693,-,1,First Pass,Primary Assembly
Line:174,1,1,NW_022145599,NW_003577250.1,1,1,2293484,2293484,+,2293484,2293484,331796,331796,+,1,First Pass,Primary Assembly
Line:174,1,2,NW_022145599,NW_003577198.1,1,1,2293484,2293484,+,2293484,2293484,102851,102851,+,1,Second Pass,Primary Assembly
Line:175,1,1,NW_022145599,NW_003577177.1,1,1,2562162,2562162,+,2562162,2562162,135237,135237,+,1,First Pass,Primary Assembly
Line:176,1,1,NW_022145599,NW_003577177.1,1,1,2584564,2584564,+,2584564,2584564,161661,161661,+,1,First Pass,Primary Assembly
Line:177,1,1,NW_022145599,NW_003577177.1,1,1,2675964,2675964,+,2675964,2675964,251651,251651,+,1,First Pass,Primary Assembly
Line:178,1,1,NW_022145599,NW_003577177.1,1,1,2760333,2760333,+,2760333,2760333,335595,335595,+,1,First Pass,Primary Assembly
Line:179,1,1,NW_022145599,NW_003577580.1,1,1,6599765,6599765,+,6599765,6599765,128336,128336,-,1,First Pass,Primary Assembly
Line:180,1,1,NW_022145599,NW_003579045.1,1,1,7213530,7213530,+,7213530,7213530,46612,46612,+,1,First Pass,Primary Assembly
Line:181,1,1,NW_022145599,NW_003580669.1,1,1,10677373,10677373,+,10677373,10677373,52604,52604,-,1,First Pass,Primary Assembly
Line:182,1,1,NW_022145599,NW_003580669.1,1,1,10690850,10690850,+,10690850,10690850,39137,39137,-,1,First Pass,Primary Assembly
Line:183,1,1,NW_022145599,NW_003577339.1,1,1,10737521,10737521,+,10737521,10737521,426529,426529,+,1,First Pass,Primary Assembly
Line:184,1,1,NW_022145599,NW_003577339.1,1,1,10737862,10737862,+,10737862,10737862,426871,426871,+,1,First Pass,Primary Assembly
Line:185,1,1,NW_022145599,NW_003577367.1,1,1,11055426,11055426,+,11055426,11055426,82139,82139,-,1,Second Pass,Primary Assembly
Line:185,1,2,NW_022145599,NW_003577367.1,1,1,11055426,11055426,+,11055426,11055426,43165,43165,-,1,First Pass,Primary Assembly
Line:186,1,1,NW_022145599,NW_003577367.1,1,1,11387457,11387457,+,11387457,11387457,178215,178215,+,1,First Pass,Primary Assembly
Line:187,1,1,NW_022145599,NW_003577367.1,1,1,11654993,11654993,+,11654993,11654993,430808,430808,+,1,First Pass,Primary Assembly
Line:188,1,1,NW_022145599,NW_003577367.1,1,1,11663109,11663109,+,11663109,11663109,438920,438920,+,1,First Pass,Primary Assembly
