ECB-GENEPAGE-23010827	ECB-GENE-23010828	LOC583541	GO:0046983
ECB-GENEPAGE-23027220	ECB-GENE-23027221	LOC373495	GO:0000278,GO:0000287,GO:0004714,GO:0004715,GO:0005524,GO:0005634
ECB-GENEPAGE-23028798	ECB-GENE-23028799	LOC754479	GO:0000786,GO:0003677,GO:0005634,GO:0006334,GO:0046982
ECB-GENEPAGE-23031695	ECB-GENE-23031696	LOC752187	GO:0000786,GO:0003677,GO:0005634,GO:0006334,GO:0046982
ECB-GENEPAGE-23032654	ECB-GENE-23032655	chk1	GO:0000077,GO:0005524,GO:0005634,GO:0106310,GO:0106311
ECB-GENEPAGE-23033588	ECB-GENE-23033589	ergl	GO:0000981,GO:0005634,GO:0006357,GO:0030154,GO:0043565
ECB-GENEPAGE-23033622	ECB-GENE-23033623	ets1	GO:0003700,GO:0005634,GO:0043565
ECB-GENEPAGE-23034836	ECB-GENE-23034837	bace	GO:0004190,GO:0005768,GO:0005802,GO:0006509,GO:0016020,GO:0016021,GO:0050435
ECB-GENEPAGE-23034954	ECB-GENE-23034955	LOC586619	GO:0004714,GO:0005524,GO:0016021
ECB-GENEPAGE-23036231	ECB-GENE-23036232	nfkb1	GO:0003677,GO:0003700,GO:0005634,GO:0005737,GO:0007165
ECB-GENEPAGE-23036267	ECB-GENE-23036268	bmp1l	GO:0004222,GO:0005509,GO:0007275,GO:0008270
ECB-GENEPAGE-23036620	ECB-GENE-23036621	nodall	GO:0005576,GO:0008083
ECB-GENEPAGE-23036704	ECB-GENE-23036705	LOC581030	GO:0000786,GO:0003677,GO:0005634,GO:0046982
ECB-GENEPAGE-23036709	ECB-GENE-23036710	LOC373346	GO:0000786,GO:0003677,GO:0005634,GO:0006334,GO:0046982
ECB-GENEPAGE-23036724	ECB-GENE-23036725	wnt8a	GO:0005109,GO:0005125,GO:0005615,GO:0030182,GO:0045165,GO:0060070
ECB-GENEPAGE-23037253	ECB-GENE-23037254	suPaxB	GO:0003677,GO:0005634,GO:0006355,GO:0007275
ECB-GENEPAGE-23037402	ECB-GENE-23037403	LOC582704	GO:0000786,GO:0003677,GO:0005634,GO:0006334,GO:0046982
ECB-GENEPAGE-23038502	ECB-GENE-23038503	LOC583253	GO:0003676
ECB-GENEPAGE-23039266	ECB-GENE-23039267	4e-bp	GO:0005737,GO:0008190,GO:0045947
ECB-GENEPAGE-23039419	ECB-GENE-23039420	Tcf/Lef	GO:0016055
ECB-GENEPAGE-23040243	ECB-GENE-23040244	LOC578540	GO:0005524,GO:0005886,GO:0008559,GO:0016021,GO:0031966
ECB-GENEPAGE-23040430	ECB-GENE-23040431	dkk	GO:0005576,GO:0007275,GO:0007586,GO:0008047,GO:0016042,GO:0030178
ECB-GENEPAGE-23041495	ECB-GENE-23041496	eif4e1	GO:0000340,GO:0003743,GO:0016281
ECB-GENEPAGE-23041989	ECB-GENE-23041990	pkd2	GO:0005262,GO:0005509,GO:0016020,GO:0016021,GO:0042995,GO:0050982
ECB-GENEPAGE-23042352	ECB-GENE-23042353	SPARC	GO:0005509,GO:0005518,GO:0005615,GO:0048856,GO:0050840
ECB-GENEPAGE-23042847	ECB-GENE-23042848	hmgb1l	GO:0005634,GO:0005694,GO:0006357,GO:0008301
ECB-GENEPAGE-23043312	ECB-GENE-23043313	LOC753782	GO:0000786,GO:0003677,GO:0005634,GO:0006334,GO:0046982
ECB-GENEPAGE-23043939	ECB-GENE-23043940	LOC592147	GO:0004315,GO:0004320,GO:0006633,GO:0016295,GO:0016296
ECB-GENEPAGE-23044057	ECB-GENE-23044058	KRP85	GO:0003777,GO:0005524,GO:0005871,GO:0005874,GO:0007018,GO:0008017,GO:0008089,GO:0016887,GO:0060271,GO:1904115,GO:1990939
ECB-GENEPAGE-23044496	ECB-GENE-23044497	fgf	GO:0008083
ECB-GENEPAGE-23044980	ECB-GENE-23044981	sia8	GO:0005794,GO:0006486,GO:0008373,GO:0016021
ECB-GENEPAGE-23045035	ECB-GENE-23045036	ephx2	GO:0016787
ECB-GENEPAGE-23045067	ECB-GENE-23045068	arsal	GO:0004065,GO:0005576,GO:0046872
ECB-GENEPAGE-23045198	ECB-GENE-23045199	hsp110	GO:0005524,GO:0016887
ECB-GENEPAGE-23045792	ECB-GENE-23045793	hlf	GO:0000978,GO:0000981,GO:0005634,GO:0006357
ECB-GENEPAGE-23045834	ECB-GENE-23045835	pdx1l	GO:0000981,GO:0003677,GO:0005634
ECB-GENEPAGE-23046094	ECB-GENE-23046095	LOC590977	GO:0015293,GO:0016021
ECB-GENEPAGE-23046462	ECB-GENE-23046463	LOC754126	GO:0000786,GO:0003677,GO:0005634,GO:0046982
ECB-GENEPAGE-23046466	ECB-GENE-23046467	LOC754292	GO:0000786,GO:0003677,GO:0005634,GO:0006334,GO:0046982
ECB-GENEPAGE-23046593	ECB-GENE-23046594	LOC100888959	GO:0005509
ECB-GENEPAGE-23048548	ECB-GENE-23048549	LOC373484	GO:0003785,GO:0005737,GO:0005856,GO:0007015
ECB-GENEPAGE-23048791	ECB-GENE-23048792	ephx2l	GO:0016787
ECB-GENEPAGE-23049383	ECB-GENE-23049384	tgm1	GO:0003810,GO:0018149
ECB-GENEPAGE-23049499	ECB-GENE-23049500	LOC105440217	GO:0000786,GO:0003677,GO:0005634,GO:0046982
ECB-GENEPAGE-23049507	ECB-GENE-23049508	LOC753158	GO:0000786,GO:0003677,GO:0005634,GO:0006334,GO:0046982
ECB-GENEPAGE-23049511	ECB-GENE-23049512	LOC373342	GO:0000786,GO:0003690,GO:0005634,GO:0006334,GO:0016584,GO:0030261,GO:0031492,GO:0031936,GO:0045910
ECB-GENEPAGE-23049519	ECB-GENE-23049520	h2a	GO:0000786,GO:0003677,GO:0005634,GO:0006342,GO:0046982
ECB-GENEPAGE-23049533	ECB-GENE-23049534	h4	GO:0000786,GO:0003677,GO:0005634,GO:0006334,GO:0046982
ECB-GENEPAGE-23049670	ECB-GENE-23049671	NCKX	GO:0005262,GO:0005887,GO:0006874,GO:0008273,GO:0070588
ECB-GENEPAGE-23050446	ECB-GENE-23050447	arc3	GO:0016740,GO:0050135,GO:0061809
ECB-GENEPAGE-23050792	ECB-GENE-23050793	eif4e2	GO:0000340,GO:0003743,GO:0016281
ECB-GENEPAGE-23053176	ECB-GENE-23053177	dtymk	GO:0004550,GO:0004798,GO:0005524,GO:0005634,GO:0005737,GO:0005739,GO:0005829,GO:0006227,GO:0006233,GO:0006235,GO:0009041
ECB-GENEPAGE-23053528	ECB-GENE-23053529	col4a6	GO:0005201,GO:0005581,GO:0005604,GO:0016020
ECB-GENEPAGE-23053546	ECB-GENE-23053547	col4a1	GO:0005201,GO:0005581,GO:0005604,GO:0016020
ECB-GENEPAGE-23053730	ECB-GENE-23053731	EGFIII	GO:0005509,GO:0005615,GO:0009374
ECB-GENEPAGE-23053996	ECB-GENE-23053997	tert	GO:0000781,GO:0003677,GO:0003721,GO:0005634,GO:0046872
ECB-GENEPAGE-23054103	ECB-GENE-23054104	sox14	GO:0005634,GO:0006355
ECB-GENEPAGE-23054148	ECB-GENE-23054149	sox2	GO:0000978,GO:0000981,GO:0005634,GO:0006355,GO:0009653,GO:0030154
ECB-GENEPAGE-23054828	ECB-GENE-23054829	gpc-6	GO:0009966,GO:0046658,GO:0062023
ECB-GENEPAGE-23055993	ECB-GENE-23055994	arc4	GO:0016740,GO:0050135,GO:0061809
ECB-GENEPAGE-23056080	ECB-GENE-23056081	Gpc-5	GO:0030513,GO:0045880,GO:0046658,GO:0062023,GO:0090263
ECB-GENEPAGE-23056204	ECB-GENE-23056205	LOC100890097	GO:0004308,GO:0005737,GO:0005764,GO:0006689,GO:0009313,GO:0016020,GO:0043231
ECB-GENEPAGE-23056352	ECB-GENE-23056353	eif4a	GO:0003724,GO:0003743,GO:0005524,GO:0016787
ECB-GENEPAGE-23057322	ECB-GENE-23057323	pofut1	GO:0005783,GO:0006004,GO:0007219,GO:0046922
ECB-GENEPAGE-23060326	ECB-GENE-23060327	SFK1	GO:0004713,GO:0004714,GO:0004715,GO:0005102,GO:0005524,GO:0007169,GO:0030154,GO:0031234,GO:0045087
ECB-GENEPAGE-23061229	ECB-GENE-23061230	src	GO:0004714,GO:0004715,GO:0005524
ECB-GENEPAGE-23061672	ECB-GENE-23061673	hck	GO:0004714,GO:0004715,GO:0005524
ECB-GENEPAGE-23061782	ECB-GENE-23061783	LOC373351	GO:0000786,GO:0003677,GO:0005634,GO:0006334,GO:0046982
ECB-GENEPAGE-23062064	ECB-GENE-23062065	SFK7	GO:0004714,GO:0004715,GO:0005524
ECB-GENEPAGE-23062072	ECB-GENE-23062073	ROCK	GO:0005524,GO:0005737,GO:0005856,GO:0005886,GO:0007266,GO:0031267,GO:0106310,GO:0106311
ECB-GENEPAGE-23063298	ECB-GENE-23063299	gcml	GO:0000978,GO:0000981,GO:0001228,GO:0005634,GO:0006357,GO:0042063
ECB-GENEPAGE-23063366	ECB-GENE-23063367	frkl	GO:0004714,GO:0004715,GO:0005524
ECB-GENEPAGE-23063534	ECB-GENE-23063535	HDAC1	GO:0000118,GO:0004407,GO:0005634,GO:0005737,GO:0006325,GO:0008134,GO:0032041,GO:0045944,GO:0070932,GO:0070933
ECB-GENEPAGE-23063813	ECB-GENE-23063814	LOC373482	GO:0005737,GO:0005874,GO:0015630,GO:0060271,GO:0060294
ECB-GENEPAGE-23063963	ECB-GENE-23063964	rps15a	GO:0003735,GO:0006412,GO:0022627
ECB-GENEPAGE-23064607	ECB-GENE-23064608	pkd1a	GO:0005509,GO:0016021
ECB-GENEPAGE-23065377	ECB-GENE-23065378	ECaSt	GO:0003756,GO:0005788
ECB-GENEPAGE-23065488	ECB-GENE-23065489	pkd1b	GO:0001822,GO:0004096,GO:0016021,GO:0020037
ECB-GENEPAGE-23066173	ECB-GENE-23066174	foxj1	GO:0003700,GO:0005634,GO:0043565
ECB-GENEPAGE-23067663	ECB-GENE-23067664	tekt4	GO:0015630,GO:0036126,GO:0060271,GO:0060294
ECB-GENEPAGE-23068175	ECB-GENE-23068176	cyiiib	GO:0005524,GO:0005737,GO:0005856
ECB-GENEPAGE-23068190	ECB-GENE-23068191	CyIIIa	GO:0005524,GO:0005737,GO:0005856
ECB-GENEPAGE-23068329	ECB-GENE-23068330	pkdrejl	GO:0016021
ECB-GENEPAGE-23069000	ECB-GENE-23069001	FSCN1	GO:0003779,GO:0005737,GO:0007163,GO:0015629,GO:0016477,GO:0030036,GO:0030674,GO:0051015,GO:0051017
ECB-GENEPAGE-23069789	ECB-GENE-23069790	LOC586530	GO:0000786,GO:0003677,GO:0005634,GO:0046982
ECB-GENEPAGE-23070047	ECB-GENE-23070048	LOC582332	GO:0000786,GO:0003677,GO:0005634,GO:0046982
ECB-GENEPAGE-23070052	ECB-GENE-23070053	LOC373343	GO:0000786,GO:0003677,GO:0005634,GO:0006334,GO:0046982
ECB-GENEPAGE-23070057	ECB-GENE-23070058	LOC373347	GO:0000786,GO:0003677,GO:0005634,GO:0006334,GO:0046982
ECB-GENEPAGE-23070690	ECB-GENE-23070691	LOC373213	GO:0005044,GO:0016021
ECB-GENEPAGE-23070900	ECB-GENE-23070901	egf1	GO:0005509,GO:0005615,GO:0009374,GO:0031410,GO:0032579
ECB-GENEPAGE-23071813	ECB-GENE-23071814	abcc6	GO:0005524,GO:0016021,GO:0042626
ECB-GENEPAGE-23075090	ECB-GENE-23075091	pde5a	GO:0004114,GO:0007165,GO:0046872
ECB-GENEPAGE-23075131	ECB-GENE-23075132	LOC581500	GO:0005524,GO:0005737,GO:0005856
ECB-GENEPAGE-23075247	ECB-GENE-23075248	fgfrl1	GO:0016021
ECB-GENEPAGE-23075257	ECB-GENE-23075258	fgfr3	GO:0004714,GO:0005007,GO:0005524,GO:0005887,GO:0007169,GO:0007275,GO:0017134,GO:0033674,GO:0043235
ECB-GENEPAGE-23075660	ECB-GENE-23075661	msx1	GO:0000981,GO:0003677,GO:0005634
ECB-GENEPAGE-23076019	ECB-GENE-23076020	EGF2	GO:0005509
ECB-GENEPAGE-23076546	ECB-GENE-23076547	MMP14	GO:0004222,GO:0008270,GO:0031012
ECB-GENEPAGE-23076744	ECB-GENE-23076745	Tlr1.1	GO:0002224,GO:0004888,GO:0006955,GO:0007155,GO:0016021
ECB-GENEPAGE-23077143	ECB-GENE-23077144	sia4	GO:0005794,GO:0006486,GO:0008373,GO:0016021
ECB-GENEPAGE-23077679	ECB-GENE-23077680	HMX	GO:0000977,GO:0000981,GO:0005634,GO:0006357,GO:0007275
ECB-GENEPAGE-23077687	ECB-GENE-23077688	Nk1	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0030154
ECB-GENEPAGE-23078004	ECB-GENE-23078005	LOC373195	GO:0004222,GO:0016021
ECB-GENEPAGE-23078085	ECB-GENE-23078086	SLBP	GO:0003729
ECB-GENEPAGE-23078107	ECB-GENE-23078108	LOXL2	GO:0005044,GO:0005507,GO:0005576,GO:0016020,GO:0016641
ECB-GENEPAGE-23079536	ECB-GENE-23079537	kif11	GO:0005524,GO:0005634,GO:0005876,GO:0007018,GO:0008017,GO:0008574,GO:0051301,GO:0090307
ECB-GENEPAGE-23080813	ECB-GENE-23080814	LOC373185	GO:0005509,GO:0005886,GO:0031225,GO:0031514
ECB-GENEPAGE-23082761	ECB-GENE-23082762	hes	GO:0003677,GO:0006355,GO:0046983
ECB-GENEPAGE-23082927	ECB-GENE-23082928	ano7	GO:0005886,GO:0016021,GO:0046983
ECB-GENEPAGE-23083217	ECB-GENE-23083218	DD186	GO:0016021
ECB-GENEPAGE-23083757	ECB-GENE-23083758	clec19a	GO:0030246
ECB-GENEPAGE-23084175	ECB-GENE-23084176	abcb4	GO:0005524,GO:0016021,GO:0042626
ECB-GENEPAGE-23084853	ECB-GENE-23084854	LOC373517	GO:0016021
ECB-GENEPAGE-23085274	ECB-GENE-23085275	chrd	GO:0007275
ECB-GENEPAGE-23085669	ECB-GENE-23085670	nadk	GO:0003951,GO:0006741,GO:0019674
ECB-GENEPAGE-23086988	ECB-GENE-23086989	isg12	GO:0016021
ECB-GENEPAGE-23088285	ECB-GENE-23088286	tollip	GO:0005737,GO:0006511,GO:0006914,GO:0031624,GO:0043130,GO:0045087
ECB-GENEPAGE-23088337	ECB-GENE-23088338	nr1h3	GO:0004879,GO:0005634,GO:0008270,GO:0035076,GO:0035100,GO:0043565
ECB-GENEPAGE-23088485	ECB-GENE-23088486	pm27	GO:0005576
ECB-GENEPAGE-23089015	ECB-GENE-23089016	ntf5	GO:0005102,GO:0016021
ECB-GENEPAGE-23089504	ECB-GENE-23089505	LOC373478	GO:0005509,GO:0005544,GO:0007269,GO:0016021,GO:0030672
ECB-GENEPAGE-23090149	ECB-GENE-23090150	TPC2	GO:0005245,GO:0005765,GO:0016021,GO:0072345
ECB-GENEPAGE-23090160	ECB-GENE-23090161	LOC373245	GO:0000079,GO:0000307,GO:0005634,GO:0005737,GO:0016538,GO:0044772,GO:1900087
ECB-GENEPAGE-23090435	ECB-GENE-23090436	tgml	GO:0003810,GO:0018149,GO:0046872
ECB-GENEPAGE-23091437	ECB-GENE-23091438	LOC373348	GO:0000786,GO:0003677,GO:0005634,GO:0006342,GO:0046982
ECB-GENEPAGE-23091442	ECB-GENE-23091443	LOC373349	GO:0000786,GO:0003677,GO:0005634,GO:0006334,GO:0046982
ECB-GENEPAGE-23092712	ECB-GENE-23092713	pkd1l2b	GO:0005262,GO:0016020,GO:0016021,GO:0050982
ECB-GENEPAGE-23093816	ECB-GENE-23093817	LOC373211	GO:0005044,GO:0016020
ECB-GENEPAGE-23093828	ECB-GENE-23093829	LOC373433	GO:0005044,GO:0016020
ECB-GENEPAGE-23094197	ECB-GENE-23094198	spdef	GO:0000981,GO:0005634,GO:0006357,GO:0030154,GO:0043565
ECB-GENEPAGE-23094247	ECB-GENE-23094248	alx1	GO:0000977,GO:0000981,GO:0005634,GO:0006357
ECB-GENEPAGE-23096175	ECB-GENE-23096176	NHE	GO:0006814,GO:0015299,GO:0016021
ECB-GENEPAGE-23096194	ECB-GENE-23096195	nfya	GO:0003677,GO:0003700,GO:0016602
ECB-GENEPAGE-23096973	ECB-GENE-23096974	LOC578262	GO:0000398,GO:0005681,GO:0005682,GO:0046540
ECB-GENEPAGE-23098951	ECB-GENE-23098952	Tlr1.2	GO:0007155,GO:0007165,GO:0016021
ECB-GENEPAGE-23099217	ECB-GENE-23099218	bindin	GO:0007155,GO:0007342,GO:0043160
ECB-GENEPAGE-23099397	ECB-GENE-23099398	abcb1	GO:0005524,GO:0016021,GO:0042626,GO:0055085
ECB-GENEPAGE-23099813	ECB-GENE-23099814	LOC373178	GO:0003777,GO:0005524,GO:0005871,GO:0005874,GO:0007018,GO:0007411,GO:0008017,GO:0008574,GO:0016887,GO:0030705,GO:0032839,GO:0048489,GO:0098971
ECB-GENEPAGE-23099944	ECB-GENE-23099945	MTa	GO:0046872
ECB-GENEPAGE-23100302	ECB-GENE-23100303	pkd1l1	GO:0016021
ECB-GENEPAGE-23100513	ECB-GENE-23100514	LOC753325	GO:0000977,GO:0000981,GO:0006357,GO:0032502,GO:0046983
ECB-GENEPAGE-23100788	ECB-GENE-23100789	LOC586192	GO:0005524,GO:0106310,GO:0106311
ECB-GENEPAGE-23100798	ECB-GENE-23100799	LOC373367	GO:0007155,GO:0007229,GO:0016021
ECB-GENEPAGE-23101957	ECB-GENE-23101958	LOC373364	GO:0007155,GO:0007229,GO:0016021
ECB-GENEPAGE-23101972	ECB-GENE-23101973	LOC592500	GO:0008146
ECB-GENEPAGE-23102326	ECB-GENE-23102327	LOC373243	GO:0000978,GO:0000981,GO:0006357
ECB-GENEPAGE-23102450	ECB-GENE-23102451	hcn2l	GO:0005216,GO:0016021
ECB-GENEPAGE-23103349	ECB-GENE-23103350	LOC373206	GO:0007155,GO:0007229,GO:0008305
ECB-GENEPAGE-23103534	ECB-GENE-23103535	LOC373238	GO:0000930,GO:0003924,GO:0005525,GO:0005874,GO:0007020,GO:0031122
ECB-GENEPAGE-23104232	ECB-GENE-23104233	LOC100126188	GO:0005576
ECB-GENEPAGE-23104236	ECB-GENE-23104237	LOC763375	GO:0001664,GO:0005184,GO:0031395
ECB-GENEPAGE-23104786	ECB-GENE-23104787	lhx1	GO:0000981,GO:0003677,GO:0005634,GO:0046872
ECB-GENEPAGE-23104829	ECB-GENE-23104830	pmar1	GO:0003677,GO:0005634
ECB-GENEPAGE-23106022	ECB-GENE-23106023	MMP16	GO:0004222,GO:0008270,GO:0031012
ECB-GENEPAGE-23106266	ECB-GENE-23106267	serca	GO:0005388,GO:0005524,GO:0006874,GO:0008553,GO:0016021,GO:0016887,GO:0033017,GO:0070588
ECB-GENEPAGE-23106800	ECB-GENE-23106801	mapk1	GO:0004707,GO:0005524,GO:0106310,GO:0106311
ECB-GENEPAGE-23107234	ECB-GENE-23107235	LOC593617	GO:0003677,GO:0046872
ECB-GENEPAGE-23108023	ECB-GENE-23108024	nanos2l	GO:0003723,GO:0005737,GO:0006417,GO:0008270
ECB-GENEPAGE-23108200	ECB-GENE-23108201	mvp	GO:0005634,GO:0005737
ECB-GENEPAGE-23108604	ECB-GENE-23108605	tekt1	GO:0015630,GO:0031514,GO:0060271,GO:0060294
ECB-GENEPAGE-23109006	ECB-GENE-23109007	TPC1	GO:0005245,GO:0005509,GO:0016021
ECB-GENEPAGE-23109019	ECB-GENE-23109020	LOC373476	GO:0000149,GO:0005484,GO:0006836,GO:0006886,GO:0016021,GO:0016192,GO:0017157
ECB-GENEPAGE-23109163	ECB-GENE-23109164	LOC373214	GO:0005044,GO:0016020
ECB-GENEPAGE-23110164	ECB-GENE-23110165	VSOP	GO:0005887,GO:0030171
ECB-GENEPAGE-23110527	ECB-GENE-23110528	piwil3	GO:0003676
ECB-GENEPAGE-23110653	ECB-GENE-23110654	op	GO:0004601,GO:0006979,GO:0020037
ECB-GENEPAGE-23110902	ECB-GENE-23110903	tbx2	GO:0003677,GO:0003700,GO:0005634
ECB-GENEPAGE-23114303	ECB-GENE-23114304	LOC578449	GO:0015293,GO:0016021
ECB-GENEPAGE-23114443	ECB-GENE-23114444	tetrakcng	GO:0005249,GO:0016021
ECB-GENEPAGE-23118760	ECB-GENE-23118761	hnf6	GO:0000978,GO:0000981,GO:0005634,GO:0006357
ECB-GENEPAGE-23123532	ECB-GENE-23123533	runx2	GO:0000978,GO:0000981,GO:0005524,GO:0005634
ECB-GENEPAGE-23124118	ECB-GENE-23124119	LOC757329	GO:0016021,GO:0016491
ECB-GENEPAGE-23126823	ECB-GENE-23126824	cyp51a1	GO:0004497,GO:0005506,GO:0008168,GO:0016021,GO:0016705,GO:0020037,GO:0032259
ECB-GENEPAGE-23127987	ECB-GENE-23127988	KATNA1	GO:0000922,GO:0005524,GO:0005634,GO:0005737,GO:0005813,GO:0005819,GO:0005874,GO:0007049,GO:0008017,GO:0008568,GO:0015630,GO:0016853,GO:0016887,GO:0030496,GO:0031122,GO:0051013,GO:0051301,GO:0097431
ECB-GENEPAGE-23128358	ECB-GENE-23128359	prdm1	GO:0001227,GO:0048869
ECB-GENEPAGE-23128430	ECB-GENE-23128431	VEB4	GO:0008270
ECB-GENEPAGE-23129891	ECB-GENE-23129892	dlp	GO:0005856,GO:0005886,GO:0008270,GO:0051015,GO:0051017
ECB-GENEPAGE-23130535	ECB-GENE-23130536	rab3	GO:0003924,GO:0005525,GO:0005886,GO:0006886
ECB-GENEPAGE-23130961	ECB-GENE-23130962	st6galnac	GO:0005794,GO:0006486,GO:0008373,GO:0016021
ECB-GENEPAGE-23132009	ECB-GENE-23132010	ddx4	GO:0003723,GO:0003724,GO:0005524,GO:0005634,GO:0007276,GO:0008270,GO:0030154,GO:0043186
ECB-GENEPAGE-23133930	ECB-GENE-23133931	LOC100147806	GO:0005576,GO:0008083
ECB-GENEPAGE-23135989	ECB-GENE-23135990	sia2	GO:0005794,GO:0006486,GO:0008373,GO:0016021
ECB-GENEPAGE-23136069	ECB-GENE-23136070	npr2	GO:0001653,GO:0004383,GO:0004672,GO:0005524,GO:0005525,GO:0005886,GO:0006182,GO:0007165,GO:0007168,GO:0016021,GO:0035556
ECB-GENEPAGE-23136214	ECB-GENE-23136215	ssap	GO:0003723
ECB-GENEPAGE-23136872	ECB-GENE-23136873	tek	GO:0004714,GO:0005524,GO:0016021
ECB-GENEPAGE-23137855	ECB-GENE-23137856	calret	GO:0005509,GO:0005788,GO:0006457,GO:0051082
ECB-GENEPAGE-23138174	ECB-GENE-23138175	srcr12	GO:0005044,GO:0016020
ECB-GENEPAGE-23138504	ECB-GENE-23138505	ebr1	GO:0004222,GO:0046872
ECB-GENEPAGE-23139095	ECB-GENE-23139096	LOC588348	GO:0004017,GO:0005524,GO:0005737,GO:0005829,GO:0006165,GO:0009142
ECB-GENEPAGE-23139177	ECB-GENE-23139178	stxbp2	GO:0005886,GO:0006886,GO:0006904,GO:0007269,GO:0016192,GO:0019905,GO:0030141,GO:0098793
ECB-GENEPAGE-23139280	ECB-GENE-23139281	c3	GO:0004866,GO:0005615
ECB-GENEPAGE-23139364	ECB-GENE-23139365	LOC373432	GO:0005044,GO:0016020
ECB-GENEPAGE-23139692	ECB-GENE-23139693	LOC373365	GO:0007155,GO:0007229,GO:0016021
ECB-GENEPAGE-23140193	ECB-GENE-23140194	myp	GO:0005615,GO:0005769,GO:0005886,GO:0006826,GO:0045735,GO:0046872,GO:0055037,GO:0055072
ECB-GENEPAGE-23141961	ECB-GENE-23141962	st8sia9	GO:0005794,GO:0006486,GO:0008373,GO:0016021
ECB-GENEPAGE-23142712	ECB-GENE-23142713	bf	GO:0004252,GO:0005576,GO:0006956
ECB-GENEPAGE-23142954	ECB-GENE-23142955	gpsm1	GO:0005886,GO:0030695
ECB-GENEPAGE-23143410	ECB-GENE-23143411	kap115	GO:0005930,GO:0007017,GO:0007018,GO:0016939,GO:0019894,GO:0035869,GO:0044782
ECB-GENEPAGE-23143421	ECB-GENE-23143422	LOC115917875	GO:0005524,GO:0005737,GO:0005856
ECB-GENEPAGE-23143428	ECB-GENE-23143429	potej	GO:0005524,GO:0005737,GO:0005856
ECB-GENEPAGE-23143544	ECB-GENE-23143545	LOC373192	GO:0005524,GO:0005737,GO:0005856
ECB-GENEPAGE-23145173	ECB-GENE-23145174	nr6a1b	GO:0004879,GO:0005634,GO:0008270,GO:0043565
ECB-GENEPAGE-23146683	ECB-GENE-23146684	snap25	GO:0043005,GO:0045202
ECB-GENEPAGE-23146870	ECB-GENE-23146871	eef1g	GO:0003746,GO:0006749
ECB-GENEPAGE-23147395	ECB-GENE-23147396	bst1	GO:0016740,GO:0050135,GO:0061809
ECB-GENEPAGE-23148115	ECB-GENE-23148116	rsph4a	GO:0001534,GO:0060271,GO:0060294
ECB-GENEPAGE-23149143	ECB-GENE-23149144	lefty1	GO:0005160,GO:0005576,GO:0008083
ECB-GENEPAGE-23149255	ECB-GENE-23149256	LOC586394	GO:0000786,GO:0003677,GO:0005634,GO:0006334,GO:0046982
ECB-GENEPAGE-23149681	ECB-GENE-23149682	nkx2-1	GO:0000981,GO:0003677,GO:0005634
ECB-GENEPAGE-23149701	ECB-GENE-23149702	nkx2-2	GO:0000981,GO:0003677,GO:0005634
ECB-GENEPAGE-23150045	ECB-GENE-23150046	prox1	GO:0003677,GO:0005634,GO:0006355
ECB-GENEPAGE-23150105	ECB-GENE-23150106	gscl	GO:0000977,GO:0000981,GO:0005634,GO:0006357
ECB-GENEPAGE-23151430	ECB-GENE-23151431	gpb5	GO:0005179,GO:0005615,GO:0005737,GO:0007186,GO:0009755,GO:0016021
ECB-GENEPAGE-23151440	ECB-GENE-23151441	gpa2	GO:0005576
